regulon,Pvalues,AdjPvalues,log2FC
ZNF398_(+),3.000961734497071e-15,5.556107149035302e-14,-0.013941139866602694
ZNF404_(+),0.012827336810973769,0.02112255464814348,-9.320805512460808e-05
ZNF433_(+),1.0,1.0,0.0
ZNF48_(+),4.415394561059418e-08,1.8330577420155765e-07,-0.04125644866683661
ZNF491_(+),4.988904419753954e-06,1.4239164698047743e-05,-0.003233460230261066
ZNF501_(+),2.3664690393027005e-06,7.204583519654888e-06,-0.002636122912923957
ZNF510_(+),0.00013258785202368195,0.0003027422621207404,-0.0010791181500459377
ZNF521_(+),0.07093447529744197,0.10797803461943944,-0.000372794503645444
ZNF524_(+),6.687503459227717e-07,2.234604814424871e-06,-0.004158172200893524
ZNF529_(+),1.0996748069732679e-08,5.021848285177923e-08,-0.0069494628592416926
ZNF530_(+),0.16226649439762098,0.2268419360456538,0.00019377740987697582
ZNF548_(+),1.3496763596260127e-07,5.136268368576771e-07,-0.004050470221132863
ZNF549_(+),1.0142656181575141e-09,5.5189835554836245e-09,-0.006900512374931612
ZNF558_(+),0.002945824588955118,0.005322206404962048,-0.0037661923495903226
ZNF577_(+),0.32576094338041817,0.42504046898206943,1.066434787353631e-05
ZNF585B_(+),3.2737320204261806e-07,1.1802665442062808e-06,-0.0018742024296417232
ZNF614_(+),0.0003281025407210481,0.0007250007754642515,-0.007330829502603147
ZNF662_(+),1.0867973762288916e-09,5.5189835554836245e-09,-0.00592310580822944
ZNF677_(+),1.0,1.0,0.0
ZNF692_(+),1.6231948846158984e-11,1.389860619952363e-10,-0.023275763661088994
ZNF76_(+),1.0,1.0,0.0
ZNF837_(+),5.724351193987222e-08,2.2406746102178552e-07,-0.00604689357590605
