term_name,source,p_values,significant,intersection_sizes,direction
biofilm matrix disassembly,GO:BP,0.0188747655997714,TRUE,1,Up-regulated
biofilm matrix organization,GO:BP,0.0188747655997714,TRUE,1,Up-regulated
negative regulation of intracellular sterol transport,GO:BP,0.0188747655997714,TRUE,1,Up-regulated
negative regulation of intracellular lipid transport,GO:BP,0.0188747655997714,TRUE,1,Up-regulated
negative regulation of receptor-mediated endocytosis involved in cholesterol transport,GO:BP,0.0188747655997714,TRUE,1,Up-regulated
negative regulation of intracellular cholesterol transport,GO:BP,0.0188747655997714,TRUE,1,Up-regulated
protein export from nucleus,GO:BP,0.0190119692287571,TRUE,1,Up-regulated
regulation of DNA binding,GO:BP,0.0190119692287571,TRUE,4,Up-regulated
negative regulation of ATP-dependent activity,GO:BP,0.0190119692287571,TRUE,2,Up-regulated
positive regulation of neutrophil mediated killing of fungus,GO:BP,0.0190119692287571,TRUE,1,Up-regulated
regulation of neutrophil mediated killing of fungus,GO:BP,0.0190119692287571,TRUE,1,Up-regulated
plasma membrane phospholipid scrambling,GO:BP,0.0190119692287571,TRUE,3,Up-regulated
actomyosin contractile ring assembly,GO:BP,0.0191124080765516,TRUE,2,Up-regulated
assembly of actomyosin apparatus involved in cytokinesis,GO:BP,0.0191124080765516,TRUE,2,Up-regulated
regulation of filopodium assembly,GO:BP,0.0191124080765516,TRUE,3,Up-regulated
response to hormone,GO:BP,0.0192540439479118,TRUE,21,Up-regulated
bone mineralization involved in bone maturation,GO:BP,0.0192721606023208,TRUE,2,Up-regulated
phagocytosis,GO:BP,0.0193779997192951,TRUE,7,Up-regulated
ovarian follicle development,GO:BP,0.0193779997192951,TRUE,4,Up-regulated
positive regulation of mononuclear cell migration,GO:BP,0.0193779997192951,TRUE,4,Up-regulated
negative regulation of B cell activation,GO:BP,0.0193779997192951,TRUE,3,Up-regulated
regulation of bone remodeling,GO:BP,0.0193779997192951,TRUE,4,Up-regulated
T cell chemotaxis,GO:BP,0.0193779997192951,TRUE,2,Up-regulated
positive regulation of cell cycle G2/M phase transition,GO:BP,0.0193779997192951,TRUE,3,Up-regulated
positive regulation of T-helper 2 cell cytokine production,GO:BP,0.0193779997192951,TRUE,1,Up-regulated
female sex differentiation,GO:BP,0.0193779997192951,TRUE,6,Up-regulated
positive regulation of peptidyl-serine phosphorylation,GO:BP,0.0194334956023473,TRUE,2,Up-regulated
signaling receptor inhibitor activity,GO:MF,0.0195840569053589,TRUE,2,Up-regulated
phospholipid transporter activity,GO:MF,0.0195840569053589,TRUE,5,Up-regulated
cytolysis,GO:BP,0.0196462063538522,TRUE,2,Up-regulated
positive regulation of protein oligomerization,GO:BP,0.0196462063538522,TRUE,1,Up-regulated
cellular response to interferon-beta,GO:BP,0.0196462063538522,TRUE,2,Up-regulated
cytoskeleton-dependent cytokinesis,GO:BP,0.0197243947388113,TRUE,6,Up-regulated
positive regulation of flagellated sperm motility involved in capacitation,GO:BP,0.019888169994473,TRUE,1,Up-regulated
structural constituent of skin epidermis,GO:MF,0.0199638712317835,TRUE,2,Down-regulated
ferritin receptor activity,GO:MF,0.0199638712317835,TRUE,1,Down-regulated
sodium,bicarbonate:chloride antiporter activity,GO:MF,0.0199638712317835,TRUE,1,Down-regulated
microtubule cytoskeleton organization involved in mitosis,GO:BP,0.0202895609013306,TRUE,7,Up-regulated
deoxyribonucleoside diphosphate biosynthetic process,GO:BP,0.0202895609013306,TRUE,1,Up-regulated
dTTP metabolic process,GO:BP,0.0202895609013306,TRUE,1,Up-regulated
endocytosis involved in viral entry into host cell,GO:BP,0.0202895609013306,TRUE,2,Up-regulated
pyrimidine deoxyribonucleoside triphosphate biosynthetic process,GO:BP,0.0202895609013306,TRUE,1,Up-regulated
dTTP biosynthetic process,GO:BP,0.0202895609013306,TRUE,1,Up-regulated
neutrophil degranulation,GO:BP,0.0202895609013306,TRUE,2,Up-regulated
positive regulation of calcium ion transport,GO:BP,0.0203235715787215,TRUE,3,Up-regulated
maintenance of cell number,GO:BP,0.0204979453142884,TRUE,6,Up-regulated
regulation of response to wounding,GO:BP,0.0204979453142884,TRUE,6,Up-regulated
myeloid dendritic cell activation,GO:BP,0.0206194666099639,TRUE,3,Up-regulated
melanocyte apoptotic process,GO:BP,0.0206723126867316,TRUE,1,Up-regulated
negative regulation of vascular endothelial cell proliferation,GO:BP,0.0206723126867316,TRUE,1,Up-regulated
positive regulation of cytokine production involved in immune response,GO:BP,0.0207303301621832,TRUE,4,Up-regulated
cell surface receptor protein serine/threonine kinase signaling pathway,GO:BP,0.0207303301621832,TRUE,11,Up-regulated
positive regulation of endocytosis,GO:BP,0.0208160275814358,TRUE,3,Up-regulated
negative regulation of lymphocyte activation,GO:BP,0.0208960405087242,TRUE,6,Up-regulated
lipid translocation,GO:BP,0.0210604153725533,TRUE,4,Up-regulated
regulation of cellular component organization,GO:BP,0.0212542732786359,TRUE,33,Up-regulated
negative regulation of secretion by cell,GO:BP,0.0213602099767565,TRUE,6,Up-regulated
negative regulation of epithelial cell proliferation,GO:BP,0.0215411055642398,TRUE,6,Up-regulated
symbiont-mediated induction of syncytium formation,GO:BP,0.021551821672745,TRUE,1,Up-regulated
bicarbonate:monoatomic anion antiporter activity,GO:MF,0.0216617151285061,TRUE,1,Down-regulated
monoatomic cation:bicarbonate symporter activity,GO:MF,0.0216617151285061,TRUE,1,Down-regulated
sodium:bicarbonate symporter activity,GO:MF,0.0216617151285061,TRUE,1,Down-regulated
chloride:bicarbonate antiporter activity,GO:MF,0.0216617151285061,TRUE,1,Down-regulated
potassium channel activator activity,GO:MF,0.0216617151285061,TRUE,1,Down-regulated
response to sterol,GO:BP,0.0217329633141909,TRUE,3,Up-regulated
cellular response to prostaglandin D stimulus,GO:BP,0.0217329633141909,TRUE,1,Up-regulated
response to prostaglandin D,GO:BP,0.0217329633141909,TRUE,1,Up-regulated
negative regulation of mitotic nuclear division,GO:BP,0.0217833701794545,TRUE,4,Up-regulated
host-mediated perturbation of viral process,GO:BP,0.0219852353177315,TRUE,1,Up-regulated
negative regulation of developmental process,GO:BP,0.0220373464682112,TRUE,16,Up-regulated
actomyosin contractile ring organization,GO:BP,0.0220451079371649,TRUE,2,Up-regulated
regulation of generation of precursor metabolites and energy,GO:BP,0.0220451079371649,TRUE,6,Up-regulated
gonad development,GO:BP,0.0221946995296894,TRUE,8,Up-regulated
synaptic vesicle cycle,GO:BP,0.0223939531416873,TRUE,5,Up-regulated
response to endogenous stimulus,GO:BP,0.0224445277190132,TRUE,26,Up-regulated
negative regulation of biosynthetic process,GO:BP,0.0225787364362165,TRUE,43,Up-regulated
channel activator activity,GO:MF,0.0226898568153302,TRUE,1,Down-regulated
blood coagulation,GO:BP,0.0228834186138608,TRUE,7,Up-regulated
positive regulation of cell adhesion,GO:BP,0.0229848649745997,TRUE,11,Up-regulated
type B pancreatic cell proliferation,GO:BP,0.0229848649745997,TRUE,3,Up-regulated
positive regulation of mitotic sister chromatid segregation,GO:BP,0.0229848649745997,TRUE,2,Up-regulated
peptidyl-tyrosine modification,GO:BP,0.0229848649745997,TRUE,6,Up-regulated
negative regulation of single stranded viral RNA replication via double stranded DNA intermediate,GO:BP,0.0230294172547435,TRUE,2,Up-regulated
regulation of B cell differentiation,GO:BP,0.0231270642716704,TRUE,3,Up-regulated
positive regulation of intracellular signal transduction,GO:BP,0.0232368464623145,TRUE,23,Up-regulated
toll-like receptor 7 signaling pathway,GO:BP,0.023686181508396,TRUE,1,Up-regulated
chemokine (C-C motif) ligand 5 production,GO:BP,0.0238564024363713,TRUE,2,Up-regulated
regulation of chemokine (C-C motif) ligand 5 production,GO:BP,0.0238564024363713,TRUE,2,Up-regulated
negative regulation of cell adhesion,GO:BP,0.0239993238477206,TRUE,9,Up-regulated
nicotinamide metabolic process,GO:BP,0.0241452450662207,TRUE,1,Up-regulated
vesicle-mediated transport,GO:BP,0.0242436437378067,TRUE,16,Up-regulated
regulation of receptor signaling pathway via JAK-STAT,GO:BP,0.0244875195866561,TRUE,4,Up-regulated
development of primary sexual characteristics,GO:BP,0.0245553508455193,TRUE,8,Up-regulated
regulation by virus of viral protein levels in host cell,GO:BP,0.0245553508455193,TRUE,1,Up-regulated
hemoglobin binding,GO:MF,0.0245810136494659,TRUE,2,Up-regulated
phospholipid scramblase activity,GO:MF,0.0245810136494659,TRUE,3,Up-regulated
CXCR chemokine receptor binding,GO:MF,0.0245810136494659,TRUE,2,Up-regulated
heterotypic cell-cell adhesion,GO:BP,0.0247816351405945,TRUE,4,Up-regulated
regulation of wound healing,GO:BP,0.0248309890563341,TRUE,5,Up-regulated
coagulation,GO:BP,0.0248793261338889,TRUE,7,Up-regulated
cell-cell junction maintenance,GO:BP,0.024900851835871,TRUE,2,Up-regulated
negative regulation of MAPK cascade,GO:BP,0.024900851835871,TRUE,6,Up-regulated
positive regulation of low-density lipoprotein particle receptor catabolic process,GO:BP,0.024900851835871,TRUE,1,Up-regulated
regulation of toll-like receptor 9 signaling pathway,GO:BP,0.0250986128701442,TRUE,1,Up-regulated
chorion development,GO:BP,0.0253347050485703,TRUE,2,Up-regulated
regulation of type 2 immune response,GO:BP,0.0254045187839079,TRUE,2,Up-regulated
germline cell cycle switching, mitotic to meiotic cell cycle,GO:BP,0.0255464888256039,TRUE,1,Up-regulated
prostaglandin F receptor activity,GO:MF,0.0255821313985531,TRUE,1,Up-regulated
muscle structure development,GO:BP,0.02558424818304,TRUE,16,Up-regulated
interleukin-1-mediated signaling pathway,GO:BP,0.02558424818304,TRUE,3,Up-regulated
cell-cell adhesion,GO:BP,0.02558424818304,TRUE,20,Up-regulated
regulation of epithelial cell proliferation,GO:BP,0.02558424818304,TRUE,9,Up-regulated
hemostasis,GO:BP,0.02558424818304,TRUE,7,Up-regulated
mitotic spindle organization,GO:BP,0.0258220422412344,TRUE,6,Up-regulated
positive regulation of release of sequestered calcium ion into cytosol,GO:BP,0.0260000083357295,TRUE,2,Up-regulated
nitric oxide biosynthetic process,GO:BP,0.0261537009751125,TRUE,4,Up-regulated
cytidine to uridine editing,GO:BP,0.0261927534138767,TRUE,2,Up-regulated
response to tumor necrosis factor,GO:BP,0.0261927534138767,TRUE,8,Up-regulated
positive regulation of monocyte chemotaxis,GO:BP,0.0261927534138767,TRUE,2,Up-regulated
regulation of membrane lipid distribution,GO:BP,0.0261927534138767,TRUE,4,Up-regulated
negative regulation of phagocytosis,GO:BP,0.0267292047887459,TRUE,2,Up-regulated
vasculature development,GO:BP,0.026857689506478,TRUE,16,Up-regulated
negative regulation of chemotaxis,GO:BP,0.026887888936205,TRUE,3,Up-regulated
protein K48-linked ubiquitination,GO:BP,0.026887888936205,TRUE,1,Up-regulated
regulation of phosphorus metabolic process,GO:BP,0.0269669031902986,TRUE,16,Up-regulated
hemoglobin metabolic process,GO:BP,0.0269669031902986,TRUE,2,Up-regulated
negative regulation of nitric oxide biosynthetic process,GO:BP,0.0270630565610656,TRUE,2,Up-regulated
hematopoietic stem cell differentiation,GO:BP,0.0271346202224115,TRUE,3,Up-regulated
pyrimidine deoxyribonucleoside triphosphate metabolic process,GO:BP,0.02714367828751,TRUE,1,Up-regulated
lipid transport,GO:BP,0.02714367828751,TRUE,10,Up-regulated
detoxification of copper ion,GO:BP,0.0273003606805031,TRUE,2,Up-regulated
stress response to copper ion,GO:BP,0.0273003606805031,TRUE,2,Up-regulated
regulation of cell-cell adhesion involved in gastrulation,GO:BP,0.0273277150604507,TRUE,2,Up-regulated
negative regulation of heterotypic cell-cell adhesion,GO:BP,0.0273277150604507,TRUE,2,Up-regulated
cell cycle comprising mitosis without cytokinesis,GO:BP,0.0274979941553419,TRUE,1,Up-regulated
complement activation, classical pathway,GO:BP,0.0274979941553419,TRUE,2,Up-regulated
regulation of ERK1 and ERK2 cascade,GO:BP,0.02754127772641,TRUE,8,Up-regulated
receptor-mediated endocytosis,GO:BP,0.0279491321127784,TRUE,4,Up-regulated
negative regulation of tumor necrosis factor (ligand) superfamily member 11 production,GO:BP,0.0279491321127784,TRUE,1,Up-regulated
positive regulation of fibroblast apoptotic process,GO:BP,0.0280429917816978,TRUE,2,Up-regulated
regulation of programmed necrotic cell death,GO:BP,0.0281255737409689,TRUE,3,Up-regulated
regulation of gonadotropin secretion,GO:BP,0.0281397088931868,TRUE,2,Up-regulated
positive regulation of acute inflammatory response,GO:BP,0.0281397088931868,TRUE,2,Up-regulated
dTMP kinase activity,GO:MF,0.0283174226029252,TRUE,1,Up-regulated
phospholipid transport,GO:BP,0.0284951325209427,TRUE,5,Up-regulated
metal ion transmembrane transporter activity,GO:MF,0.0285432254250753,TRUE,2,Down-regulated
lymphocyte migration,GO:BP,0.0286299812512115,TRUE,4,Up-regulated
intramembrane lipid transporter activity,GO:MF,0.0290359044375662,TRUE,4,Up-regulated
nitric-oxide synthase regulator activity,GO:MF,0.0290359044375662,TRUE,2,Up-regulated
gastrulation,GO:BP,0.0290652974973788,TRUE,7,Up-regulated
positive regulation of apoptotic cell clearance,GO:BP,0.0290652974973788,TRUE,1,Up-regulated
protein catabolic process,GO:BP,0.0290652974973788,TRUE,7,Up-regulated
blood vessel morphogenesis,GO:BP,0.02921497626443,TRUE,14,Up-regulated
epithelial cell proliferation,GO:BP,0.029372434420675,TRUE,10,Up-regulated
DNA deamination,GO:BP,0.0294436715608866,TRUE,2,Up-regulated
regulation of lactation,GO:BP,0.0294436715608866,TRUE,1,Up-regulated
positive regulation of cell junction assembly,GO:BP,0.0295156572384313,TRUE,4,Up-regulated
androst-4-ene-3,17-dione biosynthetic process,GO:BP,0.0295929225229604,TRUE,1,Up-regulated
protein localization to condensed chromosome,GO:BP,0.0295929225229604,TRUE,2,Up-regulated
protein localization to kinetochore,GO:BP,0.0295929225229604,TRUE,2,Up-regulated
negative regulation of complement activation, lectin pathway,GO:BP,0.0297222374945646,TRUE,1,Up-regulated
regulation of complement activation, lectin pathway,GO:BP,0.0297222374945646,TRUE,1,Up-regulated
regulation of nucleocytoplasmic transport,GO:BP,0.0297226819579201,TRUE,1,Up-regulated
regulation of protein oligomerization,GO:BP,0.0298702297573346,TRUE,1,Up-regulated
detoxification,GO:BP,0.0300560614925602,TRUE,5,Up-regulated
negative regulation of cell-cell adhesion,GO:BP,0.0301021929401038,TRUE,7,Up-regulated
pyrimidine nucleoside diphosphate biosynthetic process,GO:BP,0.0301922500927948,TRUE,1,Up-regulated
pyrimidine deoxyribonucleotide biosynthetic process,GO:BP,0.0301922500927948,TRUE,1,Up-regulated
myoblast differentiation,GO:BP,0.0301922500927948,TRUE,4,Up-regulated
positive regulation of viral process,GO:BP,0.0303398088951238,TRUE,2,Up-regulated
neutrophil-mediated killing of gram-positive bacterium,GO:BP,0.0303398088951238,TRUE,1,Up-regulated
pronuclear fusion,GO:BP,0.0303398088951238,TRUE,1,Up-regulated
karyogamy,GO:BP,0.0303398088951238,TRUE,1,Up-regulated
lipid binding,GO:MF,0.0304091171179045,TRUE,21,Up-regulated
hydrogen peroxide catabolic process,GO:BP,0.0304536082335881,TRUE,3,Up-regulated
positive regulation of neutrophil mediated cytotoxicity,GO:BP,0.0306202620948635,TRUE,1,Up-regulated
negative regulation of hormone secretion,GO:BP,0.0306202620948635,TRUE,4,Up-regulated
positive regulation of calcium ion transmembrane transport,GO:BP,0.0306202620948635,TRUE,3,Up-regulated
positive regulation of neutrophil mediated killing of symbiont cell,GO:BP,0.0306202620948635,TRUE,1,Up-regulated
transporter activator activity,GO:MF,0.0306692098342204,TRUE,1,Down-regulated
cell cycle switching, mitotic to meiotic cell cycle,GO:BP,0.0309961611838184,TRUE,1,Up-regulated
cell cycle switching,GO:BP,0.0309961611838184,TRUE,1,Up-regulated
regulation of peptidyl-serine phosphorylation,GO:BP,0.0310497564290442,TRUE,2,Up-regulated
transferase activity, transferring phosphorus-containing groups,GO:MF,0.0310721652209758,TRUE,7,Up-regulated
negative regulation of cellular component organization,GO:BP,0.0310735765479953,TRUE,13,Up-regulated
regulation of metaphase plate congression,GO:BP,0.0311294461970767,TRUE,2,Up-regulated
cell-cell adhesion involved in gastrulation,GO:BP,0.0311294461970767,TRUE,2,Up-regulated
positive regulation of synaptic assembly at neuromuscular junction,GO:BP,0.0311294461970767,TRUE,1,Up-regulated
positive regulation of type 2 immune response,GO:BP,0.0312001118673858,TRUE,1,Up-regulated
negative regulation of oligodendrocyte differentiation,GO:BP,0.0312001118673858,TRUE,1,Up-regulated
synaptic vesicle budding from presynaptic endocytic zone membrane,GO:BP,0.0312746819329985,TRUE,2,Up-regulated
regulation of osteoclast development,GO:BP,0.0312896203006143,TRUE,2,Up-regulated
regulation of T cell cytokine production,GO:BP,0.0313092955759355,TRUE,2,Up-regulated
T cell cytokine production,GO:BP,0.0313092955759355,TRUE,2,Up-regulated
regulation of phagocytosis,GO:BP,0.0314044642635262,TRUE,4,Up-regulated
positive regulation of microglial cell activation,GO:BP,0.0314474042239982,TRUE,1,Up-regulated
positive regulation of osteoblast differentiation,GO:BP,0.0315177265469025,TRUE,4,Up-regulated
stromal-epithelial cell signaling involved in prostate gland development,GO:BP,0.0315685906289345,TRUE,1,Up-regulated
axon target recognition,GO:BP,0.0315685906289345,TRUE,1,Up-regulated
convergent extension involved in somitogenesis,GO:BP,0.0315685906289345,TRUE,1,Up-regulated
nitric oxide metabolic process,GO:BP,0.0315685906289345,TRUE,4,Up-regulated
macrophage differentiation,GO:BP,0.0318489760475908,TRUE,3,Up-regulated
pattern recognition receptor activity,GO:MF,0.0319008074061409,TRUE,4,Up-regulated
NAD+-protein mono-ADP-ribosyltransferase activity,GO:MF,0.0319309000291727,TRUE,3,Up-regulated
CD4 receptor binding,GO:MF,0.0319309000291727,TRUE,2,Up-regulated
negative regulation of RNA biosynthetic process,GO:BP,0.0319493491026897,TRUE,23,Up-regulated
transforming growth factor beta receptor superfamily signaling pathway,GO:BP,0.0319861382730815,TRUE,10,Up-regulated
positive regulation of osteoblast proliferation,GO:BP,0.0320626042297233,TRUE,2,Up-regulated
positive regulation of trophectodermal cell proliferation,GO:BP,0.0322575987661245,TRUE,1,Up-regulated
negative regulation of oocyte development,GO:BP,0.0322575987661245,TRUE,1,Up-regulated
regulation of trophectodermal cell proliferation,GO:BP,0.0322575987661245,TRUE,1,Up-regulated
negative regulation of release of cytochrome c from mitochondria,GO:BP,0.0323101996533992,TRUE,2,Up-regulated
hypochlorous acid biosynthetic process,GO:BP,0.0324176494450903,TRUE,1,Up-regulated
lipid localization,GO:BP,0.032473445084124,TRUE,10,Up-regulated
mitotic spindle midzone assembly,GO:BP,0.0325160731607994,TRUE,2,Up-regulated
reactive nitrogen species metabolic process,GO:BP,0.0325160731607994,TRUE,4,Up-regulated
negative regulation of secretion,GO:BP,0.0326955453027568,TRUE,6,Up-regulated
DNA replication initiation,GO:BP,0.0328708060300841,TRUE,3,Up-regulated
interleukin-8 production,GO:BP,0.0328708060300841,TRUE,4,Up-regulated
regulation of interleukin-8 production,GO:BP,0.0328708060300841,TRUE,4,Up-regulated
negative regulation of fibroblast proliferation,GO:BP,0.0329204102278161,TRUE,3,Up-regulated
positive regulation of heterotypic cell-cell adhesion,GO:BP,0.0329204102278161,TRUE,2,Up-regulated
positive regulation of MHC class II biosynthetic process,GO:BP,0.0329204102278161,TRUE,2,Up-regulated
regulation of neuroinflammatory response,GO:BP,0.0329204102278161,TRUE,3,Up-regulated
negative regulation of inward rectifier potassium channel activity,GO:BP,0.0330323586217297,TRUE,1,Up-regulated
negative regulation of glial cell apoptotic process,GO:BP,0.0330323586217297,TRUE,1,Up-regulated
regulation of apoptotic cell clearance,GO:BP,0.0330323586217297,TRUE,1,Up-regulated
regulation of collagen catabolic process,GO:BP,0.0330323586217297,TRUE,1,Up-regulated
urea cycle,GO:BP,0.0330323586217297,TRUE,2,Up-regulated
negative regulation of extracellular matrix disassembly,GO:BP,0.0330323586217297,TRUE,1,Up-regulated
negative regulation of cell proliferation involved in contact inhibition,GO:BP,0.0330323586217297,TRUE,1,Up-regulated
regulation of lymphocyte activation,GO:BP,0.0330375780715724,TRUE,9,Up-regulated
peptidyl-tyrosine phosphorylation,GO:BP,0.0332125542762145,TRUE,5,Up-regulated
manganese ion export across plasma membrane,GO:BP,0.0332256535112934,TRUE,1,Up-regulated
regulation of vascular permeability,GO:BP,0.0333022158750637,TRUE,3,Up-regulated
Alpha-defensins,REAC,0.0334998088877449,TRUE,2,Up-regulated
Staphylococcus aureus infection,KEGG,0.0336319561521873,TRUE,6,Up-regulated
NOD-like receptor signaling pathway,KEGG,0.0336319561521873,TRUE,6,Up-regulated
TRAF3-dependent IRF activation pathway,REAC,0.0337337449314129,TRUE,3,Up-regulated
type 2 immune response,GO:BP,0.0338132544644202,TRUE,3,Up-regulated
transport,GO:BP,0.0338819724384372,TRUE,69,Up-regulated
negative regulation of anoikis,GO:BP,0.0340635302346227,TRUE,2,Up-regulated
leukocyte mediated cytotoxicity,GO:BP,0.0340811740024069,TRUE,5,Up-regulated
toll-like receptor 9 signaling pathway,GO:BP,0.0342862674609297,TRUE,1,Up-regulated
symbiont-mediated perturbation of host process,GO:BP,0.0344448345316879,TRUE,1,Up-regulated
symbiont-mediated perturbation of host cellular process,GO:BP,0.0344448345316879,TRUE,1,Up-regulated
CH domain binding,GO:MF,0.0344481268706071,TRUE,1,Up-regulated
NAD+ poly-ADP-ribosyltransferase activity,GO:MF,0.0344481268706071,TRUE,3,Up-regulated
UMP kinase activity,GO:MF,0.0344481268706071,TRUE,1,Up-regulated
vesicle-mediated transport in synapse,GO:BP,0.0344834441312003,TRUE,5,Up-regulated
regulation of intracellular protein transport,GO:BP,0.0344834441312003,TRUE,1,Up-regulated
transporter regulator activity,GO:MF,0.0345205921107281,TRUE,2,Down-regulated
solute:inorganic anion antiporter activity,GO:MF,0.0345205921107281,TRUE,1,Down-regulated
monoatomic cation transmembrane transporter activity,GO:MF,0.0345205921107281,TRUE,2,Down-regulated
voltage-gated channel activity,GO:MF,0.0345205921107281,TRUE,2,Down-regulated
ion channel regulator activity,GO:MF,0.0345205921107281,TRUE,2,Down-regulated
metal cation:monoatomic cation antiporter activity,GO:MF,0.0345205921107281,TRUE,1,Down-regulated
voltage-gated monoatomic ion channel activity,GO:MF,0.0345205921107281,TRUE,2,Down-regulated
voltage-gated monoatomic cation channel activity,GO:MF,0.0345205921107281,TRUE,2,Down-regulated
insulin-like growth factor II binding,GO:MF,0.0345205921107281,TRUE,1,Down-regulated
MHC class II receptor activity,GO:MF,0.0345205921107281,TRUE,1,Down-regulated
bicarbonate transmembrane transporter activity,GO:MF,0.0345205921107281,TRUE,1,Down-regulated
channel regulator activity,GO:MF,0.0345205921107281,TRUE,2,Down-regulated
negative regulation of receptor recycling,GO:BP,0.0346071465879253,TRUE,1,Up-regulated
peptide secretion,GO:BP,0.0346071465879253,TRUE,8,Up-regulated
receptor-mediated endocytosis involved in cholesterol transport,GO:BP,0.0346071465879253,TRUE,1,Up-regulated
positive regulation of toll-like receptor 4 signaling pathway,GO:BP,0.0346071465879253,TRUE,2,Up-regulated
regulation of angiogenesis,GO:BP,0.0346071465879253,TRUE,8,Up-regulated
negative regulation of asymmetric cell division,GO:BP,0.0346609331923066,TRUE,1,Up-regulated
intracellular monoatomic cation homeostasis,GO:BP,0.0348050194623193,TRUE,9,Up-regulated
regulation of glial cell apoptotic process,GO:BP,0.0353893245366006,TRUE,1,Up-regulated
Attachment and Entry,REAC,0.0354943737123406,TRUE,3,Up-regulated
virion binding,GO:MF,0.0357919510867179,TRUE,1,Up-regulated
regulation of granulocyte differentiation,GO:BP,0.0358859610118698,TRUE,2,Up-regulated
extraembryonic membrane development,GO:BP,0.0358859610118698,TRUE,2,Up-regulated
regulation of cell-cell adhesion,GO:BP,0.0358877633086815,TRUE,12,Up-regulated
regulation of intracellular signal transduction,GO:BP,0.0359300309862622,TRUE,34,Up-regulated
protein localization to meiotic spindle midzone,GO:BP,0.0359300309862622,TRUE,1,Up-regulated
protein localization to meiotic spindle,GO:BP,0.0359300309862622,TRUE,1,Up-regulated
blood vessel development,GO:BP,0.0362340196869799,TRUE,15,Up-regulated
fibronectin fibril organization,GO:BP,0.036460083562274,TRUE,1,Up-regulated
liver development,GO:BP,0.0366039321377722,TRUE,5,Up-regulated
mitotic spindle elongation,GO:BP,0.0366039321377722,TRUE,2,Up-regulated
urea metabolic process,GO:BP,0.0367850329789618,TRUE,2,Up-regulated
filopodium assembly,GO:BP,0.0372409607487141,TRUE,3,Up-regulated
monoatomic cation homeostasis,GO:BP,0.0373121344530907,TRUE,10,Up-regulated
regulation of peptidyl-tyrosine phosphorylation,GO:BP,0.0373121344530907,TRUE,4,Up-regulated
regulation of morphogenesis of an epithelium,GO:BP,0.0373121344530907,TRUE,3,Up-regulated
nuclear export,GO:BP,0.0374945876831487,TRUE,1,Up-regulated
biosynthetic process of antibacterial peptides active against Gram-negative bacteria,GO:BP,0.0374945876831487,TRUE,1,Up-regulated
regulation of stress-activated MAPK cascade,GO:BP,0.0376328810696366,TRUE,2,Up-regulated
multivesicular body-lysosome fusion,GO:BP,0.0377153882071257,TRUE,2,Up-regulated
cellular response to prostaglandin stimulus,GO:BP,0.0377685414042671,TRUE,2,Up-regulated
negative regulation of blood coagulation,GO:BP,0.0377692120844717,TRUE,3,Up-regulated
pyrimidine nucleoside diphosphate metabolic process,GO:BP,0.0380411281791288,TRUE,1,Up-regulated
regulation of vasculature development,GO:BP,0.0383556393436347,TRUE,8,Up-regulated
regulation of neurotransmitter secretion,GO:BP,0.0384521643389793,TRUE,1,Up-regulated
regulation of myeloid leukocyte mediated immunity,GO:BP,0.0386811964682517,TRUE,3,Up-regulated
macromolecule catabolic process,GO:BP,0.0386841058453541,TRUE,8,Up-regulated
leukocyte differentiation,GO:BP,0.0387484150956649,TRUE,10,Up-regulated
melanocyte proliferation,GO:BP,0.0388471289027577,TRUE,1,Up-regulated
adhesion of symbiont to host,GO:BP,0.0388471289027577,TRUE,2,Up-regulated
regulation of protein transport,GO:BP,0.0388535666591414,TRUE,2,Up-regulated
regulation of monocyte chemotaxis,GO:BP,0.0388535666591414,TRUE,2,Up-regulated
mitotic cytokinetic process,GO:BP,0.0388681082124597,TRUE,3,Up-regulated
synaptic vesicle budding,GO:BP,0.0390993082378625,TRUE,2,Up-regulated
DNA integrity checkpoint signaling,GO:BP,0.0391272448682231,TRUE,5,Up-regulated
dorsal spinal cord development,GO:BP,0.0391331538527008,TRUE,1,Up-regulated
positive regulation of acute inflammatory response to non-antigenic stimulus,GO:BP,0.0391331538527008,TRUE,1,Up-regulated
hepaticobiliary system development,GO:BP,0.0391331538527008,TRUE,5,Up-regulated
establishment of localization,GO:BP,0.0391331538527008,TRUE,70,Up-regulated
regulation of low-density lipoprotein particle receptor catabolic process,GO:BP,0.0391331538527008,TRUE,1,Up-regulated
negative regulation of hemostasis,GO:BP,0.0391331538527008,TRUE,3,Up-regulated
low-density lipoprotein particle receptor catabolic process,GO:BP,0.0391331538527008,TRUE,1,Up-regulated
regulation of acute inflammatory response to non-antigenic stimulus,GO:BP,0.0391331538527008,TRUE,1,Up-regulated
modification-dependent protein catabolic process,GO:BP,0.0391331538527008,TRUE,4,Up-regulated
acute inflammatory response to non-antigenic stimulus,GO:BP,0.0391331538527008,TRUE,1,Up-regulated
low-density lipoprotein receptor particle metabolic process,GO:BP,0.0391331538527008,TRUE,1,Up-regulated
positive regulation of binding,GO:BP,0.0391331538527008,TRUE,4,Up-regulated
establishment of localization in cell,GO:BP,0.0391331538527008,TRUE,2,Up-regulated
synaptic vesicle endocytosis,GO:BP,0.0391331538527008,TRUE,2,Up-regulated
Negative regulators of DDX58/IFIH1 signaling,REAC,0.0393254269291366,TRUE,4,Up-regulated
