term_name,source,p_values,significant,intersection_sizes,direction
negative regulation of biological process,GO:BP,1.18004587862782e-05,TRUE,93,Up-regulated
negative regulation of innate immune response,GO:BP,1.18457829063754e-05,TRUE,6,Up-regulated
heparin binding,GO:MF,1.23666901305396e-05,TRUE,12,Up-regulated
cellular response to lipid,GO:BP,1.35375632293927e-05,TRUE,22,Up-regulated
response to lipid,GO:BP,1.37674076948819e-05,TRUE,28,Up-regulated
negative regulation of defense response,GO:BP,1.39333935047324e-05,TRUE,14,Up-regulated
regulation of response to stimulus,GO:BP,1.41775203826938e-05,TRUE,64,Up-regulated
negative regulation of response to external stimulus,GO:BP,1.4540358913373e-05,TRUE,17,Up-regulated
activation of innate immune response,GO:BP,1.81585618170331e-05,TRUE,16,Up-regulated
negative regulation of cell cycle process,GO:BP,1.9244589115262e-05,TRUE,15,Up-regulated
pattern recognition receptor signaling pathway,GO:BP,2.03460553983218e-05,TRUE,15,Up-regulated
neutrophil mediated immunity,GO:BP,2.03460553983218e-05,TRUE,6,Up-regulated
negative regulation of response to biotic stimulus,GO:BP,2.03460553983218e-05,TRUE,10,Up-regulated
negative regulation of multicellular organismal process,GO:BP,2.08085745612333e-05,TRUE,30,Up-regulated
regulation of mitotic cell cycle,GO:BP,2.56958912522537e-05,TRUE,20,Up-regulated
regulation of cell cycle process,GO:BP,2.6440507470504e-05,TRUE,25,Up-regulated
negative regulation of mitotic cell cycle,GO:BP,2.74253488244604e-05,TRUE,13,Up-regulated
killing of cells of another organism,GO:BP,2.74253488244604e-05,TRUE,8,Up-regulated
disruption of cell in another organism,GO:BP,2.74253488244604e-05,TRUE,8,Up-regulated
positive regulation of multicellular organismal process,GO:BP,2.90190727514269e-05,TRUE,39,Up-regulated
positive regulation of type I interferon production,GO:BP,2.9780236372905e-05,TRUE,8,Up-regulated
positive regulation of tumor necrosis factor production,GO:BP,3.1185016826131e-05,TRUE,8,Up-regulated
positive regulation of inflammatory response,GO:BP,3.28443451982176e-05,TRUE,11,Up-regulated
mitotic cell cycle,GO:BP,3.42924697659331e-05,TRUE,28,Up-regulated
positive regulation of gene expression,GO:BP,3.42924697659331e-05,TRUE,31,Up-regulated
innate immune response-activating signaling pathway,GO:BP,3.43565595878432e-05,TRUE,15,Up-regulated
positive regulation of signal transduction,GO:BP,3.43565595878432e-05,TRUE,40,Up-regulated
regulation of signal transduction,GO:BP,3.43565595878432e-05,TRUE,61,Up-regulated
disruption of anatomical structure in another organism,GO:BP,3.71020129769897e-05,TRUE,8,Up-regulated
positive regulation of tumor necrosis factor superfamily cytokine production,GO:BP,3.91916038490635e-05,TRUE,8,Up-regulated
cell cycle process,GO:BP,3.92260076624837e-05,TRUE,35,Up-regulated
cytoplasmic pattern recognition receptor signaling pathway,GO:BP,3.96786975459556e-05,TRUE,10,Up-regulated
myeloid leukocyte activation,GO:BP,4.9323690709098e-05,TRUE,13,Up-regulated
positive regulation of cell cycle,GO:BP,4.9323690709098e-05,TRUE,16,Up-regulated
activation of immune response,GO:BP,5.1060542592402e-05,TRUE,21,Up-regulated
positive regulation of cytokine production,GO:BP,5.28146239213494e-05,TRUE,17,Up-regulated
regulation of inflammatory response,GO:BP,5.36437649275954e-05,TRUE,17,Up-regulated
Antimicrobial peptides,REAC,5.59578073985609e-05,TRUE,12,Up-regulated
regulation of signaling,GO:BP,5.6817637436854e-05,TRUE,71,Up-regulated
response to exogenous dsRNA,GO:BP,5.69906668628879e-05,TRUE,6,Up-regulated
chemokine receptor binding,GO:MF,6.06809888509368e-05,TRUE,7,Up-regulated
serine-type endopeptidase activity,GO:MF,6.06809888509368e-05,TRUE,11,Up-regulated
serine-type endopeptidase activity,GO:MF,0.0216617151285061,TRUE,3,Down-regulated
pyroptotic inflammatory response,GO:BP,6.57350089262312e-05,TRUE,6,Up-regulated
chemokine activity,GO:MF,7.19697918436023e-05,TRUE,6,Up-regulated
negative regulation of myeloid leukocyte differentiation,GO:BP,7.59310422454255e-05,TRUE,7,Up-regulated
negative regulation of cell cycle phase transition,GO:BP,7.84858434752576e-05,TRUE,13,Up-regulated
response to oxygen-containing compound,GO:BP,8.16232084820257e-05,TRUE,40,Up-regulated
cellular response to nitrogen compound,GO:BP,8.17313252681156e-05,TRUE,23,Up-regulated
cellular response to interleukin-1,GO:BP,8.54829721838021e-05,TRUE,8,Up-regulated
neutrophil-mediated killing of symbiont cell,GO:BP,9.55827162869993e-05,TRUE,4,Up-regulated
Neutrophil degranulation,REAC,0.000101572742414161,TRUE,23,Up-regulated
immune response-regulating signaling pathway,GO:BP,0.000105629334928859,TRUE,20,Up-regulated
granulocyte migration,GO:BP,0.000105848873075289,TRUE,8,Up-regulated
regulation of cell cycle phase transition,GO:BP,0.000107230826273586,TRUE,17,Up-regulated
positive regulation of cell communication,GO:BP,0.000107230826273586,TRUE,42,Up-regulated
positive regulation of signaling,GO:BP,0.000108041918387911,TRUE,42,Up-regulated
regulation of cell communication,GO:BP,0.000112905860099935,TRUE,70,Up-regulated
serine-type peptidase activity,GO:MF,0.000112918661429845,TRUE,11,Up-regulated
serine-type peptidase activity,GO:MF,0.0216617151285061,TRUE,2,Down-regulated
intracellular signal transduction,GO:BP,0.000113256194947725,TRUE,60,Up-regulated
response to dsRNA,GO:BP,0.000122835217484202,TRUE,6,Up-regulated
serine hydrolase activity,GO:MF,0.000123219121838918,TRUE,11,Up-regulated
serine hydrolase activity,GO:MF,0.0216617151285061,TRUE,2,Down-regulated
immune effector process,GO:BP,0.000133943091118154,TRUE,22,Up-regulated
myeloid leukocyte migration,GO:BP,0.000159849117671994,TRUE,10,Up-regulated
neutrophil mediated cytotoxicity,GO:BP,0.000159849117671994,TRUE,4,Up-regulated
ISG15 antiviral mechanism,REAC,0.000165143755476041,TRUE,5,Up-regulated
negative regulation of IP-10 production,GO:BP,0.000167871297890175,TRUE,2,Up-regulated
RIG-I signaling pathway,GO:BP,0.000179958336741821,TRUE,5,Up-regulated
eosinophil chemotaxis,GO:BP,0.000190677436730869,TRUE,4,Up-regulated
regulation of myeloid leukocyte differentiation,GO:BP,0.000208038400848591,TRUE,8,Up-regulated
chromosome segregation,GO:BP,0.000211358904536124,TRUE,17,Up-regulated
programmed cell death,GO:BP,0.000250954829475075,TRUE,30,Up-regulated
chemokine-mediated signaling pathway,GO:BP,0.000250954829475075,TRUE,6,Up-regulated
cell death,GO:BP,0.00025961197133344,TRUE,30,Up-regulated
regulation of myeloid cell differentiation,GO:BP,0.000266874418469368,TRUE,10,Up-regulated
regulation of reproductive process,GO:BP,0.000267020812443019,TRUE,11,Up-regulated
cell cycle phase transition,GO:BP,0.00026705571825883,TRUE,19,Up-regulated
regulation of mitotic cell cycle phase transition,GO:BP,0.000269640650048452,TRUE,14,Up-regulated
positive regulation of cytokine-mediated signaling pathway,GO:BP,0.000271846401863499,TRUE,6,Up-regulated
leukocyte migration,GO:BP,0.000295501937949764,TRUE,16,Up-regulated
monocyte chemotaxis,GO:BP,0.000296548443795673,TRUE,5,Up-regulated
negative regulation of myeloid cell differentiation,GO:BP,0.000300165026846771,TRUE,7,Up-regulated
positive regulation of pattern recognition receptor signaling pathway,GO:BP,0.000300165026846771,TRUE,7,Up-regulated
IP-10 production,GO:BP,0.000300165026846771,TRUE,2,Up-regulated
negative regulation of chemokine (C-X-C motif) ligand 2 production,GO:BP,0.000300165026846771,TRUE,2,Up-regulated
regulation of IP-10 production,GO:BP,0.000300165026846771,TRUE,2,Up-regulated
mitotic cell cycle process,GO:BP,0.000313594784863275,TRUE,23,Up-regulated
modulation of process of another organism,GO:BP,0.000317574508940984,TRUE,7,Up-regulated
cell migration,GO:BP,0.000319485269929681,TRUE,33,Up-regulated
biological process involved in symbiotic interaction,GO:BP,0.00032020625471018,TRUE,11,Up-regulated
cell population proliferation,GO:BP,0.000322763762717545,TRUE,40,Up-regulated
intracellular receptor signaling pathway,GO:BP,0.000324552301039514,TRUE,13,Up-regulated
nuclear division,GO:BP,0.000334014896199491,TRUE,17,Up-regulated
immune response-activating signaling pathway,GO:BP,0.000340097166596463,TRUE,18,Up-regulated
eosinophil migration,GO:BP,0.000340961685136255,TRUE,4,Up-regulated
negative regulation of mitotic cell cycle phase transition,GO:BP,0.000356926613036217,TRUE,10,Up-regulated
regulation of chemokine production,GO:BP,0.000359768718826845,TRUE,7,Up-regulated
chemokine production,GO:BP,0.000359768718826845,TRUE,7,Up-regulated
response to chemokine,GO:BP,0.000396085551079233,TRUE,6,Up-regulated
cellular response to chemokine,GO:BP,0.000396085551079233,TRUE,6,Up-regulated
acute inflammatory response,GO:BP,0.000396085551079233,TRUE,8,Up-regulated
ISG15-protein conjugation,GO:BP,0.000416197675175102,TRUE,2,Up-regulated
response to interleukin-1,GO:BP,0.000425359656550258,TRUE,8,Up-regulated
myeloid cell differentiation,GO:BP,0.000427762373133394,TRUE,14,Up-regulated
regulation of ribonuclease activity,GO:BP,0.000451855206419227,TRUE,2,Up-regulated
positive regulation of cell cycle process,GO:BP,0.000456108032925936,TRUE,12,Up-regulated
fibroblast proliferation,GO:BP,0.000472775567504505,TRUE,8,Up-regulated
negative regulation of immune response,GO:BP,0.000481920836221665,TRUE,6,Up-regulated
defense response to Gram-positive bacterium,GO:BP,0.000491077566140224,TRUE,5,Up-regulated
cell motility,GO:BP,0.000513943487725456,TRUE,36,Up-regulated
response to type II interferon,GO:BP,0.000514317288818039,TRUE,8,Up-regulated
positive regulation of defense response to virus by host,GO:BP,0.000533350974015154,TRUE,5,Up-regulated
proteolysis,GO:BP,0.000560049383718318,TRUE,9,Up-regulated
regulation of molecular function,GO:BP,0.000563550006976994,TRUE,26,Up-regulated
mitotic cell cycle phase transition,GO:BP,0.000572211573869739,TRUE,16,Up-regulated
regulation of pattern recognition receptor signaling pathway,GO:BP,0.000576532676591724,TRUE,10,Up-regulated
myeloid leukocyte differentiation,GO:BP,0.000628219640992734,TRUE,9,Up-regulated
endopeptidase activity,GO:MF,0.000660079381951252,TRUE,14,Up-regulated
endopeptidase activity,GO:MF,0.0199638712317835,TRUE,5,Down-regulated
leukocyte chemotaxis,GO:BP,0.000662979179917347,TRUE,10,Up-regulated
myeloid leukocyte mediated immunity,GO:BP,0.00068861309548548,TRUE,7,Up-regulated
negative regulation of chemokine production,GO:BP,0.000707400412901978,TRUE,4,Up-regulated
negative regulation of cellular process,GO:BP,0.000723333479086389,TRUE,83,Up-regulated
ERK1 and ERK2 cascade,GO:BP,0.000776863304540957,TRUE,12,Up-regulated
chemotaxis,GO:BP,0.000777361305727441,TRUE,16,Up-regulated
biological process involved in interaction with host,GO:BP,0.000777361305727441,TRUE,10,Up-regulated
regulation of nuclear division,GO:BP,0.000809480419069611,TRUE,9,Up-regulated
taxis,GO:BP,0.000809480419069611,TRUE,16,Up-regulated
signaling receptor binding,GO:MF,0.000852392026719045,TRUE,24,Up-regulated
CCR chemokine receptor binding,GO:MF,0.000852392026719045,TRUE,5,Up-regulated
G protein-coupled receptor binding,GO:MF,0.000852392026719045,TRUE,10,Up-regulated
regulation of cell population proliferation,GO:BP,0.000940317929255277,TRUE,34,Up-regulated
positive regulation of mitotic cell cycle phase transition,GO:BP,0.000956269669112782,TRUE,7,Up-regulated
organelle fission,GO:BP,0.000976435629861329,TRUE,17,Up-regulated
cell surface receptor signaling pathway via STAT,GO:BP,0.00101832352818315,TRUE,8,Up-regulated
collagen catabolic process,GO:BP,0.00102323127504532,TRUE,3,Up-regulated
negative regulation of cell development,GO:BP,0.00105244733275126,TRUE,10,Up-regulated
neutrophil-mediated killing of fungus,GO:BP,0.00109685690996299,TRUE,2,Up-regulated
leukemia inhibitory factor signaling pathway,GO:BP,0.00111765130714965,TRUE,2,Up-regulated
biological regulation,GO:BP,0.00117618026648174,TRUE,138,Up-regulated
regulation of mitotic nuclear division,GO:BP,0.0011981834314275,TRUE,8,Up-regulated
response to nitrogen compound,GO:BP,0.00126685429697082,TRUE,25,Up-regulated
cytokine activity,GO:MF,0.00127329126354598,TRUE,12,Up-regulated
adenylyltransferase activity,GO:MF,0.00127329126354598,TRUE,3,Up-regulated
secretion,GO:BP,0.00127355108642342,TRUE,21,Up-regulated
regulation of defense response to virus,GO:BP,0.00131421799362325,TRUE,6,Up-regulated
Influenza A,KEGG,0.00135618791481305,TRUE,7,Up-regulated
locomotion,GO:BP,0.00142073489543902,TRUE,26,Up-regulated
hemopoiesis,GO:BP,0.00145082320268623,TRUE,25,Up-regulated
regulation of chromosome segregation,GO:BP,0.00145244509170859,TRUE,8,Up-regulated
mitotic nuclear division,GO:BP,0.00156881196673422,TRUE,12,Up-regulated
positive regulation of locomotion,GO:BP,0.00161215374187174,TRUE,14,Up-regulated
disruption of cellular anatomical structure in another organism,GO:BP,0.0016153252624684,TRUE,2,Up-regulated
disruption of plasma membrane integrity in another organism,GO:BP,0.0016153252624684,TRUE,2,Up-regulated
positive regulation of ovulation,GO:BP,0.001639745240473,TRUE,2,Up-regulated
cellular response to virus,GO:BP,0.00164600805298249,TRUE,5,Up-regulated
positive regulation of DNA endoreduplication,GO:BP,0.00168924635799728,TRUE,2,Up-regulated
granulocyte chemotaxis,GO:BP,0.00169026908124231,TRUE,6,Up-regulated
regulation of biological process,GO:BP,0.00169026908124231,TRUE,136,Up-regulated
apoptotic process,GO:BP,0.00183831953526795,TRUE,27,Up-regulated
regulation of biological process involved in symbiotic interaction,GO:BP,0.00185345731292982,TRUE,4,Up-regulated
defense response to protozoan,GO:BP,0.00187546114947501,TRUE,4,Up-regulated
regulation of programmed cell death,GO:BP,0.00192448061014605,TRUE,28,Up-regulated
negative regulation of cell differentiation,GO:BP,0.00194986066804163,TRUE,16,Up-regulated
Coronavirus disease - COVID-19,KEGG,0.00195884632515484,TRUE,10,Up-regulated
regulation of defense response to virus by host,GO:BP,0.00202569948451512,TRUE,5,Up-regulated
identical protein binding,GO:MF,0.00203049052779556,TRUE,44,Up-regulated
neutrophil-mediated killing of bacterium,GO:BP,0.00208465286124998,TRUE,3,Up-regulated
regulation of interleukin-1-mediated signaling pathway,GO:BP,0.00221450560536522,TRUE,3,Up-regulated
regulation of meiotic cell cycle phase transition,GO:BP,0.00221955855610869,TRUE,3,Up-regulated
positive regulation of chemokine production,GO:BP,0.00227085697751226,TRUE,5,Up-regulated
regulation of sister chromatid segregation,GO:BP,0.00227354754415185,TRUE,7,Up-regulated
leukocyte activation,GO:BP,0.00227354754415185,TRUE,21,Up-regulated
regulation of osteoblast proliferation,GO:BP,0.00227354754415185,TRUE,4,Up-regulated
cell activation,GO:BP,0.00227354754415185,TRUE,23,Up-regulated
positive regulation of monocyte chemotactic protein-1 production,GO:BP,0.00227354754415185,TRUE,2,Up-regulated
positive regulation of RIG-I signaling pathway,GO:BP,0.00227354754415185,TRUE,3,Up-regulated
Interferon gamma signaling,REAC,0.0023653061705079,TRUE,9,Up-regulated
regulation of meiotic cell cycle,GO:BP,0.0023992476703354,TRUE,5,Up-regulated
trophoblast giant cell differentiation,GO:BP,0.00243983184472733,TRUE,3,Up-regulated
hematopoietic progenitor cell differentiation,GO:BP,0.00244479625610663,TRUE,8,Up-regulated
response to zinc ion,GO:BP,0.00256571864375771,TRUE,5,Up-regulated
regulation of chromosome separation,GO:BP,0.00256703471991275,TRUE,6,Up-regulated
interferon-alpha production,GO:BP,0.00258232167095272,TRUE,4,Up-regulated
regulation of interferon-alpha production,GO:BP,0.00258232167095272,TRUE,4,Up-regulated
lymphocyte chemotaxis,GO:BP,0.00258232167095272,TRUE,4,Up-regulated
cell cycle checkpoint signaling,GO:BP,0.0025995670827431,TRUE,9,Up-regulated
Hepatitis C,KEGG,0.00260648847484096,TRUE,8,Up-regulated
response to protozoan,GO:BP,0.00262107233078862,TRUE,4,Up-regulated
positive regulation of programmed cell death,GO:BP,0.00267810455797984,TRUE,17,Up-regulated
regulation of apoptotic process,GO:BP,0.00267810455797984,TRUE,27,Up-regulated
lipopolysaccharide binding,GO:MF,0.00278406639211179,TRUE,5,Up-regulated
Innate Immune System,REAC,0.00287291448245101,TRUE,32,Up-regulated
positive regulation of cell cycle phase transition,GO:BP,0.0028731983084148,TRUE,7,Up-regulated
cellular response to peptide hormone stimulus,GO:BP,0.00289914051599204,TRUE,13,Up-regulated
insulin receptor internalization,GO:BP,0.00289914051599204,TRUE,2,Up-regulated
regulation of locomotion,GO:BP,0.0029887601662553,TRUE,21,Up-regulated
negative regulation of cell population proliferation,GO:BP,0.003071671598168,TRUE,19,Up-regulated
regulation of single stranded viral RNA replication via double stranded DNA intermediate,GO:BP,0.003071671598168,TRUE,3,Up-regulated
regulation of binding,GO:BP,0.003071671598168,TRUE,8,Up-regulated
negative regulation of interleukin-1 production,GO:BP,0.00314452490049684,TRUE,4,Up-regulated
cellular response to angiotensin,GO:BP,0.00314595710556758,TRUE,4,Up-regulated
cell adhesion,GO:BP,0.00314595710556758,TRUE,32,Up-regulated
meiotic cell cycle process,GO:BP,0.00318965573758871,TRUE,10,Up-regulated
positive regulation of immune effector process,GO:BP,0.00318965573758871,TRUE,7,Up-regulated
cell killing,GO:BP,0.00331618070319739,TRUE,9,Up-regulated
regulation of blood coagulation,GO:BP,0.00334852967342712,TRUE,5,Up-regulated
RSV-host interactions,REAC,0.00340363734755269,TRUE,8,Up-regulated
collagen metabolic process,GO:BP,0.00343947846282263,TRUE,5,Up-regulated
regulation of transport,GO:BP,0.00344767524597834,TRUE,23,Up-regulated
antifungal humoral response,GO:BP,0.00345436107171898,TRUE,2,Up-regulated
regulation of response to type II interferon,GO:BP,0.00347429291798699,TRUE,3,Up-regulated
regulation of type II interferon-mediated signaling pathway,GO:BP,0.00347429291798699,TRUE,3,Up-regulated
multicellular organismal process,GO:BP,0.003497219326894,TRUE,108,Up-regulated
secretion by cell,GO:BP,0.003497219326894,TRUE,18,Up-regulated
positive regulation of cell motility,GO:BP,0.003497219326894,TRUE,13,Up-regulated
meiotic cell cycle phase transition,GO:BP,0.00349984472959583,TRUE,3,Up-regulated
regulation of macrophage differentiation,GO:BP,0.00353460372869071,TRUE,3,Up-regulated
single stranded viral RNA replication via double stranded DNA intermediate,GO:BP,0.00357578152727947,TRUE,3,Up-regulated
