gene_name,log2FoldChange,lfcSE,padj,pvalue,expression
KCTD14,1.349394004171,0.238186872178031,4.2256186840226e-08,1.93399351543358e-09,Up-regulated
TARM1,1.33063653957815,0.232856538272306,4.68225826147457e-08,2.17248690479441e-09,Up-regulated
CA12,1.00096569282716,0.179789987902404,6.26444894756168e-08,2.99077343441581e-09,Up-regulated
TEKT1,1.58219160889272,0.291248023003928,7.06618771515785e-08,3.41077512098045e-09,Up-regulated
ENSG00000267881,1.374110840382,0.243258636512746,7.5399347044265e-08,3.67917981572374e-09,Up-regulated
FOXC1,1.10347167246863,0.200097098665256,7.67376960940974e-08,3.7539389327722e-09,Up-regulated
LY6G6C,1.19541199560175,0.218019847338549,8.09274141852927e-08,3.98730738595398e-09,Up-regulated
AHSP,1.42007827518199,0.250027778981786,9.53739201544119e-08,4.79727430367932e-09,Up-regulated
CCNA1,1.03244697293703,0.185922447236874,9.53739201544119e-08,4.7996044552597e-09,Up-regulated
BNIP5,1.09142253252256,0.200077132226657,1.01006908672822e-07,5.13896666088473e-09,Up-regulated
VWA3B,1.17723765123746,0.223932303159528,1.18705705860472e-07,6.14577414806943e-09,Up-regulated
NSG2,1.01998043439091,0.189933332055554,1.35628145763102e-07,7.10409321223181e-09,Up-regulated
INHBB,1.08164654399784,0.198318639653695,1.54600124900762e-07,8.22410423603935e-09,Up-regulated
PIR,1.03948397889209,0.197865820102352,1.81904568353992e-07,9.82516638893618e-09,Up-regulated
PCOLCE2,1.61328582024971,0.298558452170333,2.03508417117606e-07,1.11153751563682e-08,Up-regulated
IGF1,1.30584765934532,0.247923914590828,2.75866377424326e-07,1.57434413632579e-08,Up-regulated
SHC2,1.02420562205054,0.193540309928314,2.87158101741488e-07,1.6546734692223e-08,Up-regulated
DEFA1B,1.4992977233642,0.277293452575165,3.2158748637121e-07,1.88017766838203e-08,Up-regulated
CRISP2,1.40672148154865,0.265941649337703,3.45220126397935e-07,2.04108648268158e-08,Up-regulated
RHAG,1.21257099544973,0.231056584842174,3.99697385740488e-07,2.42847175928115e-08,Up-regulated
CD177,1.49425023140232,0.274590778192745,4.00746027039857e-07,2.43695481479683e-08,Up-regulated
AZU1,1.22949338010773,0.235193095667521,4.10702822802615e-07,2.50615939719359e-08,Up-regulated
ERICH3,1.12684407657659,0.219031222196566,4.36062406929191e-07,2.69192764777124e-08,Up-regulated
ANOS1,1.12500862713985,0.217723538258558,5.05966325949852e-07,3.18878498095601e-08,Up-regulated
COL17A1,1.06942781515379,0.21111482878445,6.16024744516516e-07,3.98791378320356e-08,Up-regulated
RNASE3,1.05404662495871,0.20452850700548,7.00873461140359e-07,4.63321787954145e-08,Up-regulated
JCHAIN,1.05606346728313,0.212042662245869,1.01813380453711e-06,7.09749233986932e-08,Up-regulated
SLC9A4,1.70828875173253,0.35711470613575,1.20477061369935e-06,8.58011005119182e-08,Up-regulated
SPIC,2.17083483428789,0.451953310222052,1.93321615664639e-06,1.45472554760554e-07,Up-regulated
OR52B4,1.18467655183789,0.257641807836942,3.50725931515286e-06,2.84894358133959e-07,Up-regulated
LGSN,1.00021815950206,0.212297282816427,3.92044730625948e-06,3.23725611472235e-07,Up-regulated
HBM,1.01521880989175,0.220295755622552,5.77822700134625e-06,5.04380725495603e-07,Up-regulated
TNFAIP8L3,1.27574285225131,0.293512892621863,6.88595933320705e-06,6.17489095936007e-07,Up-regulated
HTRA3,1.17177567330035,0.258458796757564,7.19447924748453e-06,6.5056259623141e-07,Up-regulated
ELANE,1.18738383792883,0.267590439930912,9.81406289553675e-06,9.31576063476583e-07,Up-regulated
PRTN3,1.42179951350812,0.319372899299444,1.00627906325114e-05,9.58184258468049e-07,Up-regulated
TMT1B,1.19027059514502,0.269375374452519,1.06750461399581e-05,1.02660901119373e-06,Up-regulated
NNMT,1.50478788034658,0.353782488318279,1.27246013363181e-05,1.25623336689635e-06,Up-regulated
BSND,1.10737385096536,0.259806209464106,1.5559048111052e-05,1.57869774663175e-06,Up-regulated
SFRP1,1.32873355935373,0.313517145933018,1.81555744084341e-05,1.87659583717887e-06,Up-regulated
FAM83A,1.10925579952117,0.258462671039034,1.93164841787585e-05,2.01133457211388e-06,Up-regulated
ENSG00000254706,1.0329549547464,0.251061960704156,2.3857702350891e-05,2.53826743144063e-06,Up-regulated
NKAIN1,2.30461186273263,0.555548621884318,3.02111890488058e-05,3.31531860642557e-06,Up-regulated
PCSK9,2.06549330913782,0.514007671707302,3.71291339101415e-05,4.21241636236152e-06,Up-regulated
XIRP1,1.34562395615908,0.343767195404083,3.85917868182159e-05,4.3986949932972e-06,Up-regulated
ITGA8,1.1427783989267,0.293311663670776,4.87058764232813e-05,5.73629308141612e-06,Up-regulated
ASS1,1.10216054046018,0.289230960717993,5.87191719887768e-05,7.12601712794132e-06,Up-regulated
PAX3,2.07615116973471,0.534377479628875,7.87744276505408e-05,9.97911809410867e-06,Up-regulated
GNG4,1.01979256500852,0.289202981415851,0.000169836816727914,2.36941019279734e-05,Up-regulated
OGDHL,1.26589273848982,0.365114845816112,0.000196858371693466,2.80707569058607e-05,Up-regulated
CIMIP7,1.55400935237692,0.409864204960785,0.000235297300108561,3.44012414581442e-05,Up-regulated
CCL1,1.41887145928537,0.417861465577349,0.000287357197032778,4.34283838904995e-05,Up-regulated
SPMAP2L,1.0882912444168,0.298593359187889,0.00031415365169039,4.8107209348805e-05,Up-regulated
CLDN18,1.00278138326356,0.298239774519247,0.000327010509225771,5.04723497666799e-05,Up-regulated
TIMP4,1.84862271650341,0.570852260827678,0.000501292675273435,8.23908865562441e-05,Up-regulated
CADPS2,1.42596078136695,0.460678703399661,0.000615050556626066,0.00010390747138869,Up-regulated
OR52M1,1.3669807507247,0.419434017314581,0.000620985500401909,0.000105122828689526,Up-regulated
COL1A2,1.1475309409739,0.392835561565426,0.000993184083855998,0.000181083255000356,Up-regulated
DEFB1,2.17690973816852,0.607868745841324,0.0011684943922673,0.000217511010206262,Up-regulated
FABP2,1.16109574318447,0.414719159859968,0.00124535972637394,0.000234187664179248,Up-regulated
NR2E1,1.19446931334222,0.410762577524441,0.00136289189366921,0.000259801940525286,Up-regulated
CSAG3,2.06294284458861,0.671468865010079,0.00260411745010903,0.000550889471647926,Up-regulated
C2CD4B,1.5013470639427,0.595322566152679,0.00445392357283759,0.00102787365164368,Up-regulated
UBQLN3,1.01037970899628,0.432900736897045,0.0095793985494768,0.00250678680490603,Up-regulated
HOXB8,1.24937455424762,0.516809813406806,0.00962119808069268,0.0025206049077085,Up-regulated
CCL7,1.32200933225458,0.664519954283569,0.0109087201439156,0.00292305643314596,Up-regulated
