ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,transcript_biotype
ENSG00000178921,264.781738913576,-0.219762739052335,0.0446244157264339,3.29075890697166e-07,3.9738295754121e-06,PFAS,protein_coding
ENSG00000108961,294.642369460114,-0.143376036012526,0.0422125480325262,0.000447268321432345,0.00217738093497498,RANGRF,protein_coding
ENSG00000125434,319.154432882641,-0.114825480171062,0.0400960627766749,0.00318986634559783,0.0117379280091035,SLC25A35,protein_coding
ENSG00000198844,0.624888258971967,0.192850132023657,0.273654959228703,0.0754328153537436,0.158736808268795,ARHGEF15,protein_coding
ENSG00000184650,0.119521289183511,-0.000978136318455347,0.18361274640567,0.954365671666435,NA,ODF4,protein_coding
ENSG00000184619,123.780195838551,-0.0324184545761526,0.0512473356222203,0.507025325449459,0.654288965929384,KRBA2,protein_coding
ENSG00000161970,3739.59250144863,-0.00610640613981648,0.0991305628125507,0.941074194681959,0.968063703378613,RPL26,protein_coding
ENSG00000189051,9.52578676377352,-0.395698524649161,0.107004452518607,3.7453759875686e-05,0.000252759602119806,RNF222,protein_coding
ENSG00000166579,2844.27866735271,0.159980498513535,0.061277747618343,0.00577556471076092,0.0193115833875623,NDEL1,protein_coding
ENSG00000133026,496.263606380133,0.228314519344441,0.069874126513997,0.000472283247998667,0.0022825720609374,MYH10,protein_coding
ENSG00000161973,2.738441237299,-0.280981959349817,0.147960936395412,0.0132364866083087,0.0386593007104078,CCDC42,protein_coding
ENSG00000183318,3.24858193203249,0.0205746337991835,0.119933274314831,0.819534250923569,0.889559648112905,SPDYE4,protein_coding
ENSG00000185156,35.8519974271326,-0.0965575050436606,0.0850589922423085,0.199713114655692,0.337124691053289,MFSD6L,protein_coding
ENSG00000276231,244.037285002794,-0.3033611036389,0.0790984041485736,2.80670253743401e-05,0.000196858371693466,PIK3R6,protein_coding
ENSG00000141506,5604.43204033574,0.165946894791599,0.0433838616872885,8.72618373126612e-05,0.000527798529619879,PIK3R5,protein_coding
ENSG00000065320,21.6131440291878,-0.0790446508534123,0.0749027355064122,0.250020055568668,0.398523737592841,NTN1,protein_coding
ENSG00000170310,330.664684517647,0.0895827138146292,0.0412767110911823,0.0356806361609016,0.0873501968973835,STX8,protein_coding
ENSG00000166596,0.563165037705297,0.100157658801439,0.205830891646181,0.254087490461359,0.403357489285529,CFAP52,protein_coding
ENSG00000154914,9.31109307930158,-0.229602633192181,0.115108554221985,0.0158978118340576,0.0449817765282408,USP43,protein_coding
ENSG00000184544,0.058581225476118,0.00491772775869334,0.185532450828802,0.869842797113713,NA,DHRS7C,protein_coding
ENSG00000214978,0.0982694577371131,0.00105324365443081,0.185273799644293,0.965598012784187,NA,GSG1L2,protein_coding
ENSG00000065325,1.13979365137126,0.11380089494501,0.212285496869021,0.183264116920085,0.316461382283893,GLP2R,protein_coding
ENSG00000109047,11.2501439600936,0.227320942659959,0.165901175563728,0.0494547087509531,0.113338809005113,RCVRN,protein_coding
ENSG00000007237,2966.75987838113,0.166235861711548,0.0798178097479289,0.0217795838530135,0.0583196222348859,GAS7,protein_coding
ENSG00000006788,1.11140759440108,0.455513179454841,0.287135788079037,0.00903738605520851,0.0281313007741642,MYH13,protein_coding
ENSG00000133020,0.637074001922685,0.0591947948467473,0.174841906953024,0.472847324585603,0.625159276738147,MYH8,protein_coding
ENSG00000264424,0.539351696128268,0.116243890394238,0.230294854687903,0.111654149877562,0.21654172736091,MYH4,protein_coding
ENSG00000109061,0.451423454643135,0.0128990600985358,0.180109939365473,0.788324017974473,0.867898579281424,MYH1,protein_coding
ENSG00000125414,0.711941165489901,0.114793411518378,0.193722298654869,0.211525199228155,0.351945439108561,MYH2,protein_coding
ENSG00000109063,134.181779226651,-0.102979646790248,0.0467141679020457,0.02208528254806,0.0590548692284817,MYH3,protein_coding
ENSG00000133028,623.991286068755,-0.0456865095020632,0.0266290824674965,0.082493796766182,0.170444908808089,SCO1,protein_coding
ENSG00000170222,247.091073370683,0.0526698967628619,0.0495918811582699,0.293661615234712,0.447561857792967,ADPRM,protein_coding
ENSG00000187824,143.458584794816,-0.117929823636297,0.0705739348776933,0.0692006928743756,0.148177325661724,TMEM220,protein_coding
ENSG00000263429,0.608673693211439,-0.0253120377572514,0.173850434338677,0.733046334146125,0.829716108975964,TMEM238L,protein_coding
ENSG00000233670,0.591294449730851,0.033233169968535,0.177041586626651,0.722518107821627,0.82237168329583,PIRT,protein_coding
ENSG00000188803,0.827122743083905,0.0319070119982354,0.181755938006614,0.597973301481462,0.729101731059734,SHISA6,protein_coding
ENSG00000007174,6.28857546804602,0.127010656779892,0.106831677749836,0.150925571140331,0.27329337438264,DNAH9,protein_coding
ENSG00000154957,473.053139142025,0.113633857532251,0.0378434780512749,0.0021911129498256,0.00855937511391996,ZNF18,protein_coding
ENSG00000065559,1274.91510179716,0.172004563431506,0.052366112649486,0.000638223324124211,0.00295764689179613,MAP2K4,protein_coding
ENSG00000141052,0.678320655647072,0.0285794550333491,0.177562418815779,0.644983274242217,0.765876018852708,MYOCD,protein_coding
ENSG00000006740,29.7371028362153,-0.0942322801264247,0.0709875603781812,0.15798239991108,0.282686530867245,ARHGAP44,protein_coding
ENSG00000006744,801.040694216926,-0.149307251267772,0.033962927830345,6.87089078417665e-06,5.69011103693303e-05,ELAC2,protein_coding
ENSG00000153976,12.2181857856626,-0.34595387401953,0.116802079576674,0.000550183627209214,0.00260153766166186,HS3ST3A1,protein_coding
ENSG00000006695,211.94703323029,0.0118396205713851,0.0344246002404736,0.758803585304656,0.848120601839176,COX10,protein_coding
ENSG00000223510,8.4698513078904,-0.258248777566787,0.0974701161700114,0.00250361229126909,0.00957208632042178,CDRT15,protein_coding
ENSG00000125430,355.330151898087,-0.233312902392643,0.060580545929765,4.29881567689635e-05,0.000284891304698663,HS3ST3B1,protein_coding
ENSG00000109099,62.312354305391,-0.8724207564887,0.151248341724619,2.6994265444686e-10,7.32861481178551e-09,PMP22,protein_coding
ENSG00000125409,1.72601383813886,-0.00876403723653374,0.131993248102034,0.922381496487794,0.955481346713061,TEKT3,protein_coding
ENSG00000239704,160.049755332361,-0.259805499186679,0.0503481340226446,8.46929634118716e-08,1.19194694451611e-06,CDRT4,protein_coding
