ID,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name,transcript_biotype
ENSG00000228794,255.599373693526,-0.194372039771924,0.0475104099939691,2.04301606848402e-05,0.00014883038745344,LINC01128,retained_intron
ENSG00000234711,1.52735755524822,0.112359383474111,0.197204357595156,0.212373313780977,0.35303156759124,TUBB8P11,unprocessed_pseudogene
ENSG00000230368,22.7879222338454,0.158737413725386,0.0939127926281737,0.0506798768997105,0.115603838305726,FAM41C,lncRNA
ENSG00000283040,0.151034724258769,0.0089287538699854,0.18434452324526,0.812038273045356,NA,,transcribed_unprocessed_pseudogene
ENSG00000272438,0.118848352821837,-0.0566403186317977,0.195525011330703,0.510084819399875,NA,,lncRNA
ENSG00000223764,0.576913960985118,0.161494207228374,0.249118564807178,0.0991849332765702,0.197123367941506,LINC02593,retained_intron
ENSG00000223764,0.576913960985118,0.161494207228374,0.249118564807178,0.0991849332765702,0.197123367941506,LINC02593,lncRNA
ENSG00000187634,89.8515833771199,-0.0999590514800932,0.058856227510817,0.0623962719382532,0.13655008390385,SAMD11,protein_coding
ENSG00000187634,89.8515833771199,-0.0999590514800932,0.058856227510817,0.0623962719382532,0.13655008390385,SAMD11,protein_coding_CDS_not_defined
ENSG00000187634,89.8515833771199,-0.0999590514800932,0.058856227510817,0.0623962719382532,0.13655008390385,SAMD11,retained_intron
ENSG00000188976,779.641652584838,-0.181732482204875,0.0388517582870228,1.46362463774072e-06,1.45610509831746e-05,NOC2L,protein_coding
ENSG00000188976,779.641652584838,-0.181732482204875,0.0388517582870228,1.46362463774072e-06,1.45610509831746e-05,NOC2L,retained_intron
ENSG00000188976,779.641652584838,-0.181732482204875,0.0388517582870228,1.46362463774072e-06,1.45610509831746e-05,NOC2L,protein_coding_CDS_not_defined
ENSG00000187961,211.560595546385,-0.162679583563573,0.0561821778468309,0.00221515028757176,0.00863801644040877,KLHL17,protein_coding
ENSG00000187961,211.560595546385,-0.162679583563573,0.0561821778468309,0.00221515028757176,0.00863801644040877,KLHL17,retained_intron
ENSG00000187961,211.560595546385,-0.162679583563573,0.0561821778468309,0.00221515028757176,0.00863801644040877,KLHL17,nonsense_mediated_decay
ENSG00000187583,21.1009890300401,0.2986867207569,0.0992339124508539,0.0006998028073586,0.00319503377246341,PLEKHN1,protein_coding
ENSG00000187583,21.1009890300401,0.2986867207569,0.0992339124508539,0.0006998028073586,0.00319503377246341,PLEKHN1,retained_intron
ENSG00000187642,6.13998351746187,0.48113917183845,0.133483314537254,3.93630244938982e-05,0.000264141483670688,PERM1,protein_coding
ENSG00000187642,6.13998351746187,0.48113917183845,0.133483314537254,3.93630244938982e-05,0.000264141483670688,PERM1,retained_intron
ENSG00000272512,12.9738347083567,1.45196946786229,0.19565593217595,6.88665234353539e-14,4.21179350181765e-12,,lncRNA
ENSG00000188290,118.461743531906,1.77100611173514,0.191994324940587,2.30321688381672e-19,4.18259778030525e-17,HES4,protein_coding
ENSG00000188290,118.461743531906,1.77100611173514,0.191994324940587,2.30321688381672e-19,4.18259778030525e-17,HES4,retained_intron
ENSG00000231702,29.1891958274822,0.762609467465898,0.223178472598071,0.000142160292720578,0.000807443030850877,,processed_pseudogene
ENSG00000224969,1.62708345844344,1.34581370699368,0.262949679328553,1.46803871959169e-08,2.59032736231442e-07,,lncRNA
ENSG00000187608,8496.78961993856,2.52154457782164,0.211423642675404,3.97937716649763e-29,4.08198056695273e-26,ISG15,protein_coding
ENSG00000242590,23.0773000315296,1.43501505571984,0.16413803908668,1.91825270379029e-18,2.94758555140311e-16,,lncRNA
ENSG00000188157,438.83584315301,1.33191804852047,0.151779290827453,1.59955277280664e-18,2.51906331697524e-16,AGRN,protein_coding
ENSG00000188157,438.83584315301,1.33191804852047,0.151779290827453,1.59955277280664e-18,2.51906331697524e-16,AGRN,retained_intron
ENSG00000273443,4.06524473726365,0.152084300638352,0.191179589879258,0.153527254618882,0.276921082682494,,lncRNA
ENSG00000217801,31.9969485342648,-0.0340160100012177,0.0824252958475063,0.644288225264536,0.765513761237048,PTPN11BP,transcribed_unprocessed_pseudogene
ENSG00000237330,0.28714651326807,-0.0416920498726851,0.186016740318803,0.370240503852181,NA,RNF223,protein_coding
ENSG00000131591,210.324738890093,-0.239942412561611,0.0569433514052596,8.73068436537113e-06,7.03235132434838e-05,C1orf159,protein_coding
ENSG00000131591,210.324738890093,-0.239942412561611,0.0569433514052596,8.73068436537113e-06,7.03235132434838e-05,C1orf159,retained_intron
ENSG00000131591,210.324738890093,-0.239942412561611,0.0569433514052596,8.73068436537113e-06,7.03235132434838e-05,C1orf159,nonsense_mediated_decay
ENSG00000131591,210.324738890093,-0.239942412561611,0.0569433514052596,8.73068436537113e-06,7.03235132434838e-05,C1orf159,protein_coding_CDS_not_defined
ENSG00000223823,3.5261221518482,-0.0209007449676791,0.140072442320702,0.822947053221428,0.891868663315328,LINC01342,lncRNA
ENSG00000198976,0.0232655597056511,-0.00330192517229373,0.185641259543812,0.983921233948961,NA,MIR429,miRNA
ENSG00000272141,0.511692293678064,0.0758236475101368,0.186964534778207,0.406771404097471,0.564379523711037,,lncRNA
ENSG00000205231,1.22263468603911,0.150080691204826,0.191309450303286,0.156219874907545,0.280272707740059,TTLL10-AS1,lncRNA
ENSG00000162571,2.97634047176662,-0.0801280625395328,0.131739702577273,0.398891072414979,0.556301936434188,TTLL10,protein_coding
ENSG00000162571,2.97634047176662,-0.0801280625395328,0.131739702577273,0.398891072414979,0.556301936434188,TTLL10,protein_coding_CDS_not_defined
ENSG00000162571,2.97634047176662,-0.0801280625395328,0.131739702577273,0.398891072414979,0.556301936434188,TTLL10,retained_intron
ENSG00000162571,2.97634047176662,-0.0801280625395328,0.131739702577273,0.398891072414979,0.556301936434188,TTLL10,nonsense_mediated_decay
