"","geneName","regulon","log2FC","direction"
"240","CEP95","BCL11A",-0.00898132669339796,"Downregulated"
"241","CES2","BCL11A",-0.00898132669339796,"Downregulated"
"242","CFLAR","BCL11A",-0.00898132669339796,"Downregulated"
"243","CHAF1A","BCL11A",-0.00898132669339796,"Downregulated"
"244","CHD2","BCL11A",-0.00898132669339796,"Downregulated"
"245","CHD8","BCL11A",-0.00898132669339796,"Downregulated"
"246","CHIC2","BCL11A",-0.00898132669339796,"Downregulated"
"247","CHKB","BCL11A",-0.00898132669339796,"Downregulated"
"248","CHMP2A","BCL11A",-0.00898132669339796,"Downregulated"
"249","CHMP3","BCL11A",-0.00898132669339796,"Downregulated"
"250","CHRAC1","BCL11A",-0.00898132669339796,"Downregulated"
"251","CHST12","BCL11A",-0.00898132669339796,"Downregulated"
"252","CHST2","BCL11A",-0.00898132669339796,"Downregulated"
"253","CHSY1","BCL11A",-0.00898132669339796,"Downregulated"
"254","CHTOP","BCL11A",-0.00898132669339796,"Downregulated"
"255","CIB1","BCL11A",-0.00898132669339796,"Downregulated"
"256","CIB2","BCL11A",-0.00898132669339796,"Downregulated"
"257","CIC","BCL11A",-0.00898132669339796,"Downregulated"
"258","CIITA","BCL11A",-0.00898132669339796,"Downregulated"
"259","CIZ1","BCL11A",-0.00898132669339796,"Downregulated"
"260","CKAP2","BCL11A",-0.00898132669339796,"Downregulated"
"261","CKMT2","BCL11A",-0.00898132669339796,"Downregulated"
"262","CLEC12A","BCL11A",-0.00898132669339796,"Downregulated"
"263","CLEC17A","BCL11A",-0.00898132669339796,"Downregulated"
"264","CLEC2D","BCL11A",-0.00898132669339796,"Downregulated"
"265","CLEC7A","BCL11A",-0.00898132669339796,"Downregulated"
"266","CLK3","BCL11A",-0.00898132669339796,"Downregulated"
"267","CLK4","BCL11A",-0.00898132669339796,"Downregulated"
"268","CLNK","BCL11A",-0.00898132669339796,"Downregulated"
"269","CLNS1A","BCL11A",-0.00898132669339796,"Downregulated"
"270","CLUHP3","BCL11A",-0.00898132669339796,"Downregulated"
"271","CMPK2","BCL11A",-0.00898132669339796,"Downregulated"
"272","CMTM6","BCL11A",-0.00898132669339796,"Downregulated"
"273","CNOT10","BCL11A",-0.00898132669339796,"Downregulated"
"274","CNOT7","BCL11A",-0.00898132669339796,"Downregulated"
"275","CNOT8","BCL11A",-0.00898132669339796,"Downregulated"
"276","CNP","BCL11A",-0.00898132669339796,"Downregulated"
"277","CNPPD1","BCL11A",-0.00898132669339796,"Downregulated"
"278","CNPY3","BCL11A",-0.00898132669339796,"Downregulated"
"279","CNR1","BCL11A",-0.00898132669339796,"Downregulated"
"280","CNR2","BCL11A",-0.00898132669339796,"Downregulated"
"281","CNTNAP1","BCL11A",-0.00898132669339796,"Downregulated"
"282","COA1","BCL11A",-0.00898132669339796,"Downregulated"
"283","COL9A2","BCL11A",-0.00898132669339796,"Downregulated"
"284","COMMD10","BCL11A",-0.00898132669339796,"Downregulated"
"285","COMMD6","BCL11A",-0.00898132669339796,"Downregulated"
"286","COQ2","BCL11A",-0.00898132669339796,"Downregulated"
"287","COX20","BCL11A",-0.00898132669339796,"Downregulated"
"288","COX4I1","BCL11A",-0.00898132669339796,"Downregulated"
"289","COX7A2L","BCL11A",-0.00898132669339796,"Downregulated"
"290","CPEB4","BCL11A",-0.00898132669339796,"Downregulated"
"291","CPNE1","BCL11A",-0.00898132669339796,"Downregulated"
"292","CRADD","BCL11A",-0.00898132669339796,"Downregulated"
"293","CRCP","BCL11A",-0.00898132669339796,"Downregulated"
"294","CREB1","BCL11A",-0.00898132669339796,"Downregulated"
"295","CREBZF","BCL11A",-0.00898132669339796,"Downregulated"
"296","CRKL","BCL11A",-0.00898132669339796,"Downregulated"
"297","CRLS1","BCL11A",-0.00898132669339796,"Downregulated"
"298","CSAD","BCL11A",-0.00898132669339796,"Downregulated"
"299","CTC1","BCL11A",-0.00898132669339796,"Downregulated"
"300","CTDSP1","BCL11A",-0.00898132669339796,"Downregulated"
"301","CTRC","BCL11A",-0.00898132669339796,"Downregulated"
"302","CUEDC1","BCL11A",-0.00898132669339796,"Downregulated"
"303","CUL4A","BCL11A",-0.00898132669339796,"Downregulated"
"304","CXCR3","BCL11A",-0.00898132669339796,"Downregulated"
"305","CXCR5","BCL11A",-0.00898132669339796,"Downregulated"
"306","CXXC4","BCL11A",-0.00898132669339796,"Downregulated"
"307","CYB561","BCL11A",-0.00898132669339796,"Downregulated"
"308","CYB561A3","BCL11A",-0.00898132669339796,"Downregulated"
"309","CYB5R2","BCL11A",-0.00898132669339796,"Downregulated"
"310","CYBA","BCL11A",-0.00898132669339796,"Downregulated"
"311","CYFIP2","BCL11A",-0.00898132669339796,"Downregulated"
"312","CYLD","BCL11A",-0.00898132669339796,"Downregulated"
"313","CYP11A1","BCL11A",-0.00898132669339796,"Downregulated"
"314","CYP46A1","BCL11A",-0.00898132669339796,"Downregulated"
"315","CYS1","BCL11A",-0.00898132669339796,"Downregulated"
"316","CYSLTR2","BCL11A",-0.00898132669339796,"Downregulated"
"317","DAP","BCL11A",-0.00898132669339796,"Downregulated"
"318","DCAF10","BCL11A",-0.00898132669339796,"Downregulated"
"319","DCAF16","BCL11A",-0.00898132669339796,"Downregulated"
"320","DCAF8","BCL11A",-0.00898132669339796,"Downregulated"
"321","DCAKD","BCL11A",-0.00898132669339796,"Downregulated"
"322","DCK","BCL11A",-0.00898132669339796,"Downregulated"
"323","DCLRE1C","BCL11A",-0.00898132669339796,"Downregulated"
"324","DCP2","BCL11A",-0.00898132669339796,"Downregulated"
"325","DCPS","BCL11A",-0.00898132669339796,"Downregulated"
"326","DCTN2","BCL11A",-0.00898132669339796,"Downregulated"
"327","DDHD1","BCL11A",-0.00898132669339796,"Downregulated"
"328","DDHD2","BCL11A",-0.00898132669339796,"Downregulated"
"329","DDIT3","BCL11A",-0.00898132669339796,"Downregulated"
"330","DDIT4","BCL11A",-0.00898132669339796,"Downregulated"
"331","DDX18","BCL11A",-0.00898132669339796,"Downregulated"
"332","DDX42","BCL11A",-0.00898132669339796,"Downregulated"
"333","DDX50","BCL11A",-0.00898132669339796,"Downregulated"
"334","DDX51","BCL11A",-0.00898132669339796,"Downregulated"
"335","DDX60","BCL11A",-0.00898132669339796,"Downregulated"
"336","DEF6","BCL11A",-0.00898132669339796,"Downregulated"
"337","DENND1C","BCL11A",-0.00898132669339796,"Downregulated"
"338","DENND4A","BCL11A",-0.00898132669339796,"Downregulated"
"339","DENND4B","BCL11A",-0.00898132669339796,"Downregulated"
"340","DENND5B","BCL11A",-0.00898132669339796,"Downregulated"
"341","DGKA","BCL11A",-0.00898132669339796,"Downregulated"
"342","DGKZ","BCL11A",-0.00898132669339796,"Downregulated"
"343","DHFR","BCL11A",-0.00898132669339796,"Downregulated"
"344","DHRS4-AS1","BCL11A",-0.00898132669339796,"Downregulated"
"345","DHTKD1","BCL11A",-0.00898132669339796,"Downregulated"
"346","DIAPH1","BCL11A",-0.00898132669339796,"Downregulated"
"347","DIAPH3","BCL11A",-0.00898132669339796,"Downregulated"
"348","DLEC1","BCL11A",-0.00898132669339796,"Downregulated"
"349","DLG4","BCL11A",-0.00898132669339796,"Downregulated"
"350","DLL3","BCL11A",-0.00898132669339796,"Downregulated"
"351","DMC1","BCL11A",-0.00898132669339796,"Downregulated"
"352","DMKN","BCL11A",-0.00898132669339796,"Downregulated"
"353","DMWD","BCL11A",-0.00898132669339796,"Downregulated"
"354","DNAAF1","BCL11A",-0.00898132669339796,"Downregulated"
"355","DNAI1","BCL11A",-0.00898132669339796,"Downregulated"
"356","DNAI2","BCL11A",-0.00898132669339796,"Downregulated"
"357","DNAJC2","BCL11A",-0.00898132669339796,"Downregulated"
"358","DNAJC7","BCL11A",-0.00898132669339796,"Downregulated"
"359","DNASE1L1","BCL11A",-0.00898132669339796,"Downregulated"
"360","DNTTIP2","BCL11A",-0.00898132669339796,"Downregulated"
"361","DOC2GP","BCL11A",-0.00898132669339796,"Downregulated"
"362","DOK3","BCL11A",-0.00898132669339796,"Downregulated"
"363","DOT1L","BCL11A",-0.00898132669339796,"Downregulated"
"364","DPEP3","BCL11A",-0.00898132669339796,"Downregulated"
"365","DPF1","BCL11A",-0.00898132669339796,"Downregulated"
"366","DPH6","BCL11A",-0.00898132669339796,"Downregulated"
"367","DPH7","BCL11A",-0.00898132669339796,"Downregulated"
"368","DPY19L3","BCL11A",-0.00898132669339796,"Downregulated"
"369","DRG1","BCL11A",-0.00898132669339796,"Downregulated"
"370","DSG2","BCL11A",-0.00898132669339796,"Downregulated"
"371","DSTYK","BCL11A",-0.00898132669339796,"Downregulated"
"372","DTX3L","BCL11A",-0.00898132669339796,"Downregulated"
"373","DUS1L","BCL11A",-0.00898132669339796,"Downregulated"
"374","DUSP10","BCL11A",-0.00898132669339796,"Downregulated"
"375","DUSP12","BCL11A",-0.00898132669339796,"Downregulated"
"376","DUSP2","BCL11A",-0.00898132669339796,"Downregulated"
"377","DUSP22","BCL11A",-0.00898132669339796,"Downregulated"
"378","DUSP28","BCL11A",-0.00898132669339796,"Downregulated"
"379","DUSP8","BCL11A",-0.00898132669339796,"Downregulated"
"380","DXO","BCL11A",-0.00898132669339796,"Downregulated"
"381","DYNC1LI1","BCL11A",-0.00898132669339796,"Downregulated"
"382","DYNLL2","BCL11A",-0.00898132669339796,"Downregulated"
"383","DYRK1B","BCL11A",-0.00898132669339796,"Downregulated"
"384","E2F3","BCL11A",-0.00898132669339796,"Downregulated"
"385","E2F5","BCL11A",-0.00898132669339796,"Downregulated"
"386","E2F7","BCL11A",-0.00898132669339796,"Downregulated"
"387","E2F8","BCL11A",-0.00898132669339796,"Downregulated"
"388","ECD","BCL11A",-0.00898132669339796,"Downregulated"
"389","ECH1","BCL11A",-0.00898132669339796,"Downregulated"
"390","EDEM1","BCL11A",-0.00898132669339796,"Downregulated"
"391","EEF1A1","BCL11A",-0.00898132669339796,"Downregulated"
"392","EEF1D","BCL11A",-0.00898132669339796,"Downregulated"
"393","EGR1","BCL11A",-0.00898132669339796,"Downregulated"
"394","EHBP1","BCL11A",-0.00898132669339796,"Downregulated"
"395","EHMT1","BCL11A",-0.00898132669339796,"Downregulated"
"396","EIF2B1","BCL11A",-0.00898132669339796,"Downregulated"
"397","EIF3A","BCL11A",-0.00898132669339796,"Downregulated"
"398","EIF3E","BCL11A",-0.00898132669339796,"Downregulated"
"399","EIF3F","BCL11A",-0.00898132669339796,"Downregulated"
"400","EIF3G","BCL11A",-0.00898132669339796,"Downregulated"
"401","EIF4E2","BCL11A",-0.00898132669339796,"Downregulated"
"402","EIF5","BCL11A",-0.00898132669339796,"Downregulated"
"403","EIF5A","BCL11A",-0.00898132669339796,"Downregulated"
"404","ELK3","BCL11A",-0.00898132669339796,"Downregulated"
"405","EME2","BCL11A",-0.00898132669339796,"Downregulated"
"406","EMP3","BCL11A",-0.00898132669339796,"Downregulated"
"407","ENDOD1","BCL11A",-0.00898132669339796,"Downregulated"
"408","ENDOV","BCL11A",-0.00898132669339796,"Downregulated"
"409","EPHB1","BCL11A",-0.00898132669339796,"Downregulated"
"410","EPN1","BCL11A",-0.00898132669339796,"Downregulated"
"411","EPSTI1","BCL11A",-0.00898132669339796,"Downregulated"
"412","ERCC1","BCL11A",-0.00898132669339796,"Downregulated"
"413","ERF","BCL11A",-0.00898132669339796,"Downregulated"
"414","ERN1","BCL11A",-0.00898132669339796,"Downregulated"
"415","ESPNP","BCL11A",-0.00898132669339796,"Downregulated"
"416","ETF1","BCL11A",-0.00898132669339796,"Downregulated"
"417","ETV3L","BCL11A",-0.00898132669339796,"Downregulated"
"418","ETV6","BCL11A",-0.00898132669339796,"Downregulated"
"419","EWSR1","BCL11A",-0.00898132669339796,"Downregulated"
"420","EXD3","BCL11A",-0.00898132669339796,"Downregulated"
"421","EXOC7","BCL11A",-0.00898132669339796,"Downregulated"
"422","EXOSC1","BCL11A",-0.00898132669339796,"Downregulated"
"423","EXTL3","BCL11A",-0.00898132669339796,"Downregulated"
