gene_name,log2FoldChange,padj,direction,source
IL1RN,1.05385952978509,3.81085774995458e-21,Up-regulated,IRF1
DDX60,1.77107586628684,1.07246151447533e-30,Up-regulated,IRF1
PARP9,1.18261163796225,9.49384614374972e-29,Up-regulated,IRF1
HERC6,1.47449958301256,5.67952217030984e-27,Up-regulated,IRF1
HERC5,2.1513499342013,8.22311428607812e-29,Up-regulated,IRF1
BCL2A1,1.13036471039581,1.10150849410764e-19,Up-regulated,IRF1
ZCCHC2,1.23757737095701,1.17622478407361e-23,Up-regulated,IRF1
IFITM3,1.27109787195421,1.69803038816558e-18,Up-regulated,IRF1
FAM83A,1.10925579952117,1.93164841787585e-05,Up-regulated,IRF1
LCN2,1.52769632230063,9.98185827879992e-12,Up-regulated,IRF1
KCTD14,1.349394004171,4.2256186840226e-08,Up-regulated,IRF1
OLAH,3.25024747249559,3.36538614400244e-18,Up-regulated,IRF1
IFIT5,1.48323870432885,3.245506627407e-28,Up-regulated,IRF1
ACOXL,1.02252994760605,2.44505159336121e-13,Up-regulated,IRF1
MX1,1.98602947755859,9.43392198961203e-24,Up-regulated,IRF1
DRC1,1.39387148228176,1.38990713351081e-15,Up-regulated,IRF1
LY6E,2.08692263053196,2.12688677188645e-24,Up-regulated,IRF1
AIM2,1.04789342621529,5.88469772941137e-21,Up-regulated,IRF1
PLSCR2,1.05427922070531,7.43734114694009e-16,Up-regulated,IRF1
COL1A2,1.1475309409739,0.000993184083855998,Up-regulated,IRF1
KIAA1958,1.26792862853539,9.65347260697036e-26,Up-regulated,IRF1
E2F7,1.07105706988647,1.02521219466356e-11,Up-regulated,IRF1
NNMT,1.50478788034658,1.27246013363181e-05,Up-regulated,IRF1
BATF2,1.49688121074033,6.30002123616176e-16,Up-regulated,IRF1
CXCL10,1.64694790784055,2.79414510794381e-17,Up-regulated,IRF1
CKAP2L,1.09730257490456,3.38289629384511e-19,Up-regulated,IRF1
RRM2,1.45507991956538,1.07294544458092e-17,Up-regulated,IRF1
OVOL1,2.05648194618793,8.63512238594789e-10,Up-regulated,IRF1
PARP14,1.16918191501088,2.11185522456346e-28,Up-regulated,IRF1
NUPR1,1.04622553727936,4.18953758942849e-08,Up-regulated,IRF1
SAMD9L,1.41819768037426,8.83544267735103e-33,Up-regulated,IRF1
EXOC3L1,1.58879404831111,8.00828170238233e-18,Up-regulated,IRF1
PXT1,1.05862544727474,3.8199939042498e-11,Up-regulated,IRF1
APOBEC3B,1.20441624998683,5.53730671972909e-22,Up-regulated,IRF1
MX2,1.04944312694007,2.6707807213447e-21,Up-regulated,IRF1
USP18,2.83055409344908,4.18492258404903e-31,Up-regulated,IRF1
TCN2,1.07960398836198,3.54583351088283e-15,Up-regulated,IRF1
IRF7,1.28036769374498,3.99077490447081e-22,Up-regulated,IRF1
IFIT1,2.57491657084068,1.16648415138003e-26,Up-regulated,IRF1
IFITM1,1.11142974525403,1.05333068438069e-30,Up-regulated,IRF1
ISG15,2.52154457782164,4.08198056695273e-26,Up-regulated,IRF1
PLSCR1,1.50374689810645,9.23543789090532e-32,Up-regulated,IRF1
NTNG2,1.1790561947089,3.13383422395905e-19,Up-regulated,IRF1
