,BCL11A_(+),BHLHE40_(+),E2F1_(+),E2F7_(+),E2F8_(+),EBF1_(+),EP300_(+),ESRRA_(+),ETV6_(+),GABPA_(+),GATA1_(+),GATA2_(+),HIC1_(+),IRF1_(+),IRF2_(+),IRF4_(+),MAZ_(+),MYBL2_(+),MYC_(+),NFIL3_(+),PAX5_(+),RFX5_(+),SOX6_(+),SREBF2_(+),STAT3_(+),TBX21_(+),VEZF1_(+),ZHX2_(+),ZNF148_(+),ZNF549_(+)
SRR13988794,0.032749208859889516,0.01000347973804385,0.006246397847643056,0.01067451677789167,0.013192490874096229,0.01842909908329614,0.27319590597803234,0.02717475696006136,0.20520995497998384,0.0,0.05796744865168758,0.008853769992383853,0.0,0.1683569473637462,0.1734000304645849,0.013652502845084074,0.04178571776140809,0.00861398149833115,0.0494887632521904,0.22470213123007216,0.024672378683370702,0.22574803003941016,0.057309927419614624,0.0,0.20697626333122346,0.08719620932089818,0.09259075494119194,0.09260038257850828,0.0689509655118328,0.015886845342195356
SRR13988795,0.03124761514335312,0.0,0.0011759194566374669,0.007105003497722228,0.009434659476734638,0.020486461952288672,0.206409525366552,0.03540945385898138,0.12166800227938444,0.015543992574975156,0.05389840062409039,0.0144227724396189,0.0,0.1396089847988615,0.14820149276466107,0.04660866953434238,0.04100067438758147,0.006559029782786786,0.07437681392838,0.12282003950069062,0.026469442336736503,0.14223223633444193,0.0569118834674997,0.0,0.1935482412264245,0.09992988538347801,0.11531958902961975,0.059058343222515464,0.09538505702248674,0.02901082496101048
SRR13988796,0.03094683454884505,0.0,0.001823214570382861,0.006725889371422325,0.009302980005163294,0.020119266323505684,0.209879546150346,0.040816628339458295,0.11975476952610754,0.012283445319802268,0.05358509754076096,0.01398857902847854,0.0,0.13924486804976946,0.14645782178217825,0.045592045661770934,0.04089362301842329,0.006825773562342081,0.07506536302043948,0.13206192541947653,0.02632907684792459,0.14364603639006585,0.05817835270084973,0.0,0.1957977005953527,0.1002389997130681,0.11443216773154677,0.048597212136240464,0.09110517306705154,0.029137123848061563
SRR13988797,0.03893166449633257,0.0,0.0007947345563207342,0.0045785719803506045,0.007551354462334795,0.02741618761272112,0.2312774169080219,0.03163160099495354,0.13042119053685486,0.01870200689759544,0.054128535065016935,0.014970233697143703,0.0,0.14294017712677073,0.15925617669459255,0.02037392254935136,0.04010857964459666,0.004644165907570525,0.06907742079102268,0.1501310994662623,0.040749703840481925,0.15573529674593958,0.06437084660538962,0.0,0.20384987882787087,0.09221317168312246,0.12794097553463304,0.07970385589542854,0.10402594639350632,0.028278376333907475
SRR13988798,0.038679983083050304,0.0,0.0016577947079812602,0.0039443247240775435,0.0067305068590424256,0.02713469961314838,0.2342038070097787,0.034370070120627025,0.1292331586515504,0.018332888340406056,0.05484124001486085,0.01621618000737256,0.0,0.14250500286019765,0.15692252856054836,0.0131380960414568,0.04153593123337235,0.0039230622426978355,0.06923173271097294,0.15021234848387055,0.03988550273487043,0.16458495138553347,0.06620750014269677,0.0,0.20635415181714106,0.09194564941443978,0.12749812363423185,0.08435324748932854,0.10238670292423688,0.0281702041296372
SRR13988799,0.028670265513856742,0.0,0.0007228128770156905,0.006128932029211547,0.00800796480066477,0.017250279389281968,0.2059070989660384,0.02781581207118991,0.1386492150609623,0.024546384053094013,0.05483613446652828,0.013969701054081136,0.0,0.14406683648883065,0.159426656511805,0.02556918747129317,0.039073749742734296,0.005822298617594765,0.06003489736929388,0.15106508350045067,0.0201673970016248,0.16771167885385935,0.0665715229221889,0.0,0.1941279591701306,0.0830355635049715,0.1480560411726079,0.04051612674684285,0.12303841461443772,0.02316560664765227
SRR14694911,0.02529039444071909,0.0,0.004865501604986215,0.00816003715605283,0.009885528772359424,0.015028876755147538,0.07687788513043814,0.05728570064526665,0.1779842331090928,0.0,0.0693132201366674,0.006871582680656125,0.009100370953537402,0.15946985258879373,0.1362267783701447,0.017918909984172848,0.046710080742684186,0.01202047521118974,0.06424643024284102,0.23232928784097065,0.01726079689767929,0.17478757724713154,0.06580693191753012,0.0,0.2194910714053559,0.06432206887016073,0.04229115185481118,0.04594041693972617,0.0230583852429908,0.009470260923310513
SRR14694912,0.025847200049088186,0.0,0.005379741612017278,0.008928583878462609,0.010868613989876142,0.01976642192554661,0.03616716887153879,0.056213524719683064,0.18707685904807872,0.0,0.06559957746777974,0.004115398418634712,0.009164009911254448,0.16940820091247927,0.14408889565879665,0.0600466330490037,0.058132137433773226,0.020580686054152173,0.0569316962906458,0.2569462215030461,0.02080786525440459,0.2629849962859921,0.06517413057160279,0.0,0.19620648766330145,0.07127695465489547,0.05106400864244626,0.017490568377052373,0.02457849605364113,0.00774322897361137
SRR14694913,0.02091825805561964,0.0,0.004525240140194052,0.0096272120120056,0.007775315879611731,0.011863650834793908,0.31093681256969835,0.03665941487807254,0.17445665721622833,0.005188166387161893,0.1444068829006973,0.007249142168604264,0.0,0.14567305455189022,0.1477841888804265,0.015112833060120746,0.040501101331509984,0.007022903931383994,0.022466962564296557,0.23694453577576485,0.013248412888736466,0.13414513696991512,0.18570685014238594,0.0,0.23193850196497026,0.07357955513451593,0.12411463015700025,0.0403500770470607,0.09057908459510214,0.009921762297656005
SRR14694914,0.03004512506160765,0.0,0.005735753924577245,0.011245857224010513,0.011866036626212162,0.02282955023162647,0.03169672585462332,0.05917414483923309,0.16247011832668248,0.0,0.06683873104481937,0.008608356325217564,0.02940119846527468,0.16563393314627706,0.14107491241431835,0.05273279223913724,0.07390833735526889,0.01795647142752652,0.06754488630361713,0.1809400435403614,0.0315838069950188,0.25001842110296474,0.06496936304867383,0.0,0.15555207111809707,0.06192338006521315,0.042580073062333884,0.00653128819143095,0.022609583398528997,0.0076645493721358
